formulaRank,molecularFormula,adduct.x,precursorFormula,NPC#pathway,NPC#pathway Probability,NPC#superclass,NPC#superclass Probability,NPC#class,NPC#class Probability,ClassyFire#superclass,ClassyFire#superclass probability,ClassyFire#class,ClassyFire#class Probability,ClassyFire#subclass,ClassyFire#subclass Probability,ClassyFire#level 5,ClassyFire#level 5 Probability,ClassyFire#most specific class,ClassyFire#most specific class Probability,ClassyFire#all classifications,ionMass,retentionTimeInSeconds,retentionTimeInMinutes,formulaId,alignedFeatureId,mappingFeatureId,overallFeatureQuality,target_Compound,adduct.y,MetaboAnnotation_status
1,C32H14I2O5,[M + K]+,C32H14I2KO5+,Shikimates and Phenylpropanoids,0.861,Coumarins,0.464,Simple coumarins,0.319,Phenylpropanoids and polyketides,0.637,Coumarins and derivatives,0.435,Hydroxycoumarins,0.521,NA,NA,Hydroxycoumarins,0.521,Organic compounds; Organoheterocyclic compounds; Lactones; Pyrans; Benzopyrans; Phenols; Phenylpropanoids and polyketides; Organic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Pyranones and derivatives; Aryl iodides; Organoiodides; Benzene and substituted derivatives; Benzenoids; Aryl halides; Hydroxycoumarins; 1-benzopyrans; Vinylogous acids; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,770.853,28,0.466,801747137006315e3,801746877043340500,425,NA,NA,NA,FALSE
1,C5H2F2N2O8,[M + K]+,C5H2F2KN2O8+,Carbohydrates,0.34,Nucleosides,0.16,Halogenated fatty acids,0.562,"Organic 1,3-dipolar compounds",0.978,"Allyl-type 1,3-dipolar organic compounds",0.976,Organic nitro compounds,0.973,C-nitro compounds,0.96,Fluorodinitromethyl compounds,0.745,"Organic compounds; Organic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Pyrimidones; Organooxygen compounds; Organic carbonic acids and derivatives; Alkyl fluorides; Organic nitro compounds; Organic oxoazanium compounds; Organofluorides; Alkyl halides; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; C-nitro compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Fluorodinitromethyl compounds; Nitroaromatic compounds; Organic nitrogen compounds; Chemical entities",294.94,28,0.466,801747603597690900,801746877160781e3,387,NA,NA,NA,FALSE
1,C18H6O11P2,[M + K]+,C18H6KO11P2+,Shikimates and Phenylpropanoids,0.996,Coumarins,0.731,Simple coumarins,0.382,Organoheterocyclic compounds,0.888,Benzopyrans,0.843,1-benzopyrans,0.799,NA,NA,1-benzopyrans,0.799,Organic compounds; Organoheterocyclic compounds; Pyrans; Benzopyrans; Phenols; Phenylpropanoids and polyketides; Organic acids and derivatives; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Pyranones and derivatives; Benzenoids; 1-benzopyrans; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Aryl phosphates; Aryl phosphomonoesters; 1-hydroxy-2-unsubstituted benzenoids; Chemical entities,498.902,28,0.466,8.0174713542925606e+017,801746877282415900,390,NA,NA,NA,FALSE
1,C35H14I2O7,[M + K]+,C35H14I2KO7+,Shikimates and Phenylpropanoids,0.678,Flavonoids,0.428,Anthraquinones and anthrones,0.359,Organoheterocyclic compounds,0.842,Benzopyrans,0.756,1-benzopyrans,0.766,NA,NA,1-benzopyrans,0.766,Organic compounds; Organoheterocyclic compounds; Pyrans; Benzopyrans; Phenols; Phenylpropanoids and polyketides; Organic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Pyranones and derivatives; Aryl iodides; Organoiodides; Benzene and substituted derivatives; Benzenoids; Aryl halides; 1-benzopyrans; Vinylogous acids; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Chemical entities,838.841,28,0.466,801747221987182600,801746877341136100,448,NA,NA,NA,FALSE
1,C6H8F2O9P2,[M + K]+,C6H8F2KO9P2+,Carbohydrates,0.466,Fatty Acids and Conjugates,0.308,Halogenated fatty acids,0.483,Organic acids and derivatives,0.999,Organic phosphoric acids and derivatives,0.791,Phosphate esters,0.717,Alkyl phosphates,0.662,Monoalkyl phosphates,0.729,Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Organophosphorus compounds; Organic phosphoric acids and derivatives; Phosphate esters; Organic phosphonic acids and derivatives; Alkyl fluorides; Carboxylic acids; Organofluorides; Carbonyl compounds; Alkyl halides; Alkyl phosphates; Monoalkyl phosphates; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,362.927,28,0.467,801747141229983e3,801746877458576600,437,NA,NA,NA,FALSE
1,C15H6O9P2,[M + K]+,C15H6KO9P2+,Shikimates and Phenylpropanoids,0.986,Coumarins,0.796,Simple coumarins,0.496,Organoheterocyclic compounds,0.718,Benzopyrans,0.639,1-benzopyrans,0.576,NA,NA,1-benzopyrans,0.576,Organic compounds; Organoheterocyclic compounds; Pyrans; Benzopyrans; Phenols; Organic acids and derivatives; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Pyranones and derivatives; Benzenoids; 1-benzopyrans; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Aryl phosphates; Aryl phosphomonoesters; Chemical entities,430.915,28,0.467,801747154244917400,801746877508908300,438,NA,NA,NA,FALSE
1,C14H11O16P3,[M + K]+,C14H11KO16P3+,Shikimates and Phenylpropanoids,0.973,Coumarins,0.419,Simple coumarins,0.259,Organic acids and derivatives,0.993,Organic phosphoric acids and derivatives,0.999,Phosphate esters,0.995,Aryl phosphates,0.592,Aryl phosphates,0.592,Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Phenols; Organic acids and derivatives; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Secondary alcohols; Benzene and substituted derivatives; Polyols; Benzenoids; Alkyl phosphates; Monoalkyl phosphates; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Aryl phosphates; 1-hydroxy-2-unsubstituted benzenoids; Chemical entities,566.891,28,0.467,801747134745584400,801746877655708900,440,NA,NA,NA,FALSE
1,C5H4BrNO4S,[M + Na]+,C5H4BrNNaO4S+,Amino acids and Peptides,0.171,β-lactams,0.022,Halogenated fatty acids,0.033,Organohalogen compounds,1,Aryl halides,0.868,Aryl bromides,0.888,NA,NA,Aryl bromides,0.888,Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Aryl bromides; Sulfonyls; Organobromides; Aryl halides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,275.892,28,0.467,801747388962483e3,801746877706040700,386,NA,NA,NA,FALSE
1,C4H4BrNO3S,[M + H]+,C4H5BrNO3S+,Fatty acids,0.259,Fatty Acids and Conjugates,0.101,Halogenated fatty acids,0.383,Organoheterocyclic compounds,0.925,Azoles,0.57,NA,NA,NA,NA,Azoles,0.57,Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Azoles; Alkyl bromides; Organobromides; Carbonyl compounds; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,225.915,28,0.468,801747436270065e3,801746877815092600,476,NA,NA,NA,FALSE
1,C22H18I2O8,[M + K]+,C22H18I2KO8+,Polyketides,0.748,Flavonoids,0.189,Flavones,0.102,Benzenoids,0.987,Phenols,0.683,Halophenols,0.558,Iodophenols,0.589,Iodophenols,0.589,Organic compounds; Organoheterocyclic compounds; Halobenzenes; Phenols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Aryl iodides; Iodobenzenes; Organoiodides; Benzene and substituted derivatives; Halophenols; Benzenoids; Iodophenols; Aryl halides; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,702.866,28,0.469,801747135840298e3,801746877932533100,446,NA,NA,NA,FALSE
1,C7H9BrCl3FN2O3,[M + Na]+,C7H9BrCl3FN2NaO3+,Alkaloids,0.148,Ornithine alkaloids,0.014,Halogenated fatty acids,0.211,Organic acids and derivatives,0.943,Organic carbonic acids and derivatives,0.601,Ureas,0.581,NA,NA,Ureas,0.581,Organic compounds; Organic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Organic carbonic acids and derivatives; Ureas; Alkyl chlorides; Organochlorides; Carbonyl compounds; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,394.875,28,0.47,801747153489941900,801746878008030600,576,NA,NA,NA,FALSE
1,C4H2FN2O8PS,[M + Na]+,C4H2FN2NaO8PS+,Alkaloids,0.151,Fatty Acids and Conjugates,0.096,Halogenated fatty acids,0.672,"Organic 1,3-dipolar compounds",0.835,"Allyl-type 1,3-dipolar organic compounds",0.862,Organic nitro compounds,0.889,C-nitro compounds,0.794,Fluorodinitromethyl compounds,0.774,"Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Alkyl fluorides; Organic nitro compounds; Organic oxoazanium compounds; Organofluorides; Alkyl halides; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; C-nitro compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Fluorodinitromethyl compounds; Organic nitrogen compounds; Chemical entities",310.913,28,0.47,801747147529831300,801746878070945200,602,NA,NA,NA,FALSE
1,C16N4O6S2,[M + K]+,C16KN4O6S2+,Alkaloids,0.513,Polycyclic aromatic polyketides,0.288,Anthraquinones and anthrones,0.463,"Organic 1,3-dipolar compounds",0.987,"Allyl-type 1,3-dipolar organic compounds",0.985,Organic nitro compounds,0.984,C-nitro compounds,0.98,Nitroaromatic compounds,0.976,"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organonitrogen compounds; Organooxygen compounds; Azoles; Organic nitro compounds; Organic oxoazanium compounds; Benzenoids; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; C-nitro compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Nitroaromatic compounds; Organic nitrogen compounds; Chemical entities",446.889,28,0.47,801747152638497400,801746878129665400,604,NA,NA,NA,FALSE
1,C4H6Cl2O4S,[M + Na]+,C4H6Cl2NaO4S+,Fatty acids,0.964,Fatty Acids and Conjugates,0.935,Halogenated fatty acids,0.938,Organosulfur compounds,0.978,Sulfonyls,0.711,NA,NA,NA,NA,Sulfonyls,0.711,Organic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Alkyl chlorides; Sulfonyls; Organochlorides; Carbonyl compounds; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,242.926,28,0.471,801747146892296800,801746878184191400,624,NA,NA,NA,FALSE
1,C11H23NO6,[M + H]+,C11H24NO6+,Amino acids and Peptides,0.981,Amino acid glycosides,0.981,Cyanogenic glycosides,0.976,Organic oxygen compounds,1,Organooxygen compounds,1,Carbohydrates and carbohydrate conjugates,0.99,Glycosyl compounds,0.79,Cyanogenic glycosides,0.566,Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Carboxylic acids; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Cyanogenic glycosides; Fatty Acyls; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,266.16,29,0.476,801747138260412700,801746878511347100,752,NA,NA,NA,FALSE
1,C3H2F3NO4S,[M + Na]+,C3H2F3NNaO4S+,Alkaloids,0.207,Small peptides,0.144,Halogenated fatty acids,0.177,Organic acids and derivatives,0.974,Organic sulfonic acids and derivatives,0.857,Organosulfonic acids and derivatives,0.854,NA,NA,Organosulfonic acids and derivatives,0.854,Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organonitrogen compounds; Alkyl fluorides; Sulfonyls; Organofluorides; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Halomethanes; Trihalomethanes; Organic sulfonic acids and derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,227.955,29,0.478,8.0174714578499994e+017,801746878565873e3,766,NA,NA,NA,FALSE
1,C6H15NO3,[M + H]+,C6H16NO3+,Fatty acids,0.507,Aminosugars and aminoglycosides,0.11,Sphingoid bases,0.244,Organic nitrogen compounds,1,Organonitrogen compounds,1,Amines,0.997,Alkanolamines,0.98,"1,2-aminoalcohols",0.977,"Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; 1,2-aminoalcohols; Trialkylamines; Amines; Tertiary amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",150.113,29,0.479,801747596530286300,801746878616204700,788,NA,NA,NA,FALSE
1,C4H11NO2,[M + H]+,C4H12NO2+,Fatty acids,0.354,Ornithine alkaloids,0.037,Sphingoid bases,0.146,Organic nitrogen compounds,1,Organonitrogen compounds,1,Amines,0.999,Alkanolamines,0.98,"1,2-aminoalcohols",0.95,"Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; 1,2-aminoalcohols; Dialkylamines; Amines; Secondary amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",106.087,29,0.485,801747134351319700,801746878716868e3,779,NA,NA,NA,FALSE
1,C8H20NO6P,[M + Na]+,C8H20NNaO6P+,Fatty acids,0.995,Glycerophospholipids,0.991,Glycerophosphocholines,0.952,Lipids and lipid-like molecules,0.817,Glycerophospholipids,0.976,Glycerophosphocholines,0.624,NA,NA,Glycerophosphocholines,0.624,"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Glycerophospholipids; Organic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Cholines; Phosphocholines; Secondary alcohols; Glycerophosphocholines; Polyols; Amines; 1,2-diols; Alkyl phosphates; Dialkyl phosphates; Organic cations; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",280.093,29,0.488,801747171756154900,801746878771393900,939,NA,NA,NA,FALSE
1,C2H10N3O2P,[M + H]+,C2H11N3O2P+,Alkaloids,0.68,Pseudoalkaloids (transamidation),0.093,Polyamines,0.038,Organic acids and derivatives,0.483,Organic phosphoric acids and derivatives,0.571,Organic phosphoramides,0.753,NA,NA,Organic phosphoramides,0.753,Organic compounds; Organonitrogen compounds; Organic phosphoric acids and derivatives; Organic phosphoramides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,140.062,30,0.5,801747584224195800,801746878884640100,1235,NA,NA,NA,FALSE
1,C5H13NO,[M + H]+,C5H14NO+,Fatty acids,0.773,Fatty amides,0.142,Sphingoid bases,0.136,Organic nitrogen compounds,1,Organonitrogen compounds,0.999,Quaternary ammonium salts,0.58,NA,NA,Quaternary ammonium salts,0.58,Organic compounds; Organonitrogen compounds; Organooxygen compounds; Quaternary ammonium salts; Amines; Organic cations; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,104.108,30,0.501,801747134602977900,801746878943360400,793,NA,NA,NA,FALSE
1,C12H22O11,[M + Na]+,C12H22NaO11+,Carbohydrates,0.999,Saccharides,1,Disaccharides,0.998,Organic oxygen compounds,1,Organooxygen compounds,1,Carbohydrates and carbohydrate conjugates,0.999,Disaccharides,0.75,Disaccharides,0.75,Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Disaccharides; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,365.106,30,0.504,801747411242638100,801746879006275e3,828,NA,NA,NA,FALSE
1,C9H7ClO4Se,[M + K]+,C9H7ClKO4Se+,Shikimates and Phenylpropanoids,0.747,Phenolic acids (C6-C1),0.484,Simple phenolic acids,0.698,Benzenoids,0.933,Benzene and substituted derivatives,0.768,Halobenzenes,0.556,Chlorobenzenes,0.747,Chlorobenzenes,0.747,Organic compounds; Halobenzenes; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Organometallic compounds; Aryl chlorides; Chlorobenzenes; Organometalloid compounds; Organochlorides; Benzene and substituted derivatives; Selenoethers; Benzenoids; Organoselenium compounds; Aryl halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,326.884,30,0.507,801747144887418200,8.0174687910274394e+017,711,NA,NA,NA,FALSE
1,C3H8NO6,[M + Na]+,C3H8NNaO6+,Amino acids and Peptides,0.998,Small peptides,0.998,Aminoacids,0.998,Organic acids and derivatives,1,Carboxylic acids and derivatives,1,"Amino acids, peptides, and analogues",0.991,Amino acids and derivatives,0.991,Alpha amino acids,0.847,"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Monoalkylamines; Hydroxy acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",177.025,31,0.512,801747138423990700,801746879232767500,854,NA,NA,NA,FALSE
1,C7H8N4O2,[M + Na]+,C7H8N4NaO2+,Alkaloids,0.878,Pseudoalkaloids (transamidation),0.967,Purine alkaloids,0.992,Organoheterocyclic compounds,0.997,Imidazopyrimidines,0.701,Purines and purine derivatives,0.767,Xanthines,0.759,Xanthines,0.759,Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Imidazoles; Lactams; Purines and purine derivatives; Xanthines; Organic acids and derivatives; Organonitrogen compounds; Pyrimidones; Organooxygen compounds; Azoles; Purinones; Diazines; 6-oxopurines; Imidazopyrimidines; Substituted imidazoles; N-substituted imidazoles; Vinylogous amides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,203.053,31,0.513,801747575042862700,801746879270516200,859,NA,NA,NA,FALSE
