row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Orbi_P_E2_EXBLANKA.mzML Peak area,Orbi_P_E2_EXBLANKB.mzML Peak area,Orbi_P_E2_EXBLANKC.mzML Peak area,Orbi_P_E2_WS03A.mzML Peak area,Orbi_P_E2_WS03B.mzML Peak area,Orbi_P_E2_WS03C.mzML Peak area,Orbi_P_E2_Wasteblank4.mzML Peak area,Orbi_P_E2_Wasteblank5.mzML Peak area,Orbi_P_E2_Wasteblank6.mzML Peak area,
80,182.96296725781846,0.38836986,,,,31,15,[M+H-H2O]+,,2,209;80,199.96579,155.55397,95.780365,54.07303,1172.7279,1802.9645,2023.007,182.91266,316.73752,76.047806,
89,249.9266064401657,0.38873053,,,,31,21,[M+Na]+,,2,94;89,226.93781,0,27.028816,0,1080.5038,1197.1056,1358.0294,0,0,31.321033,
131,141.00610530010024,0.389016,,,,31,1,[M+NH4]+,,2,88;131,122.97292,48.081944,60.123413,30.390965,1524.0931,1879.9335,1930.5077,36.52008,32.062172,45.960903,
246,258.9783379374253,0.3916575,,,,31,24,[2M-H+2Na]+,,2,183;246,107.00407,0,32.180946,0,1169.7838,1275.4313,1377.6602,31.683115,25.275608,0,
135,165.05357511401846,0.39310896,,,,31,0,[M+NH4]+,,3,176;135;108,147.02027,26.550898,56.041084,20.477877,1163.752,1304.504,1377.4366,28.94653,21.442032,31.17192,
139,218.98424864204378,0.39526019,,,,31,,,,,,,278.97952,100.60647,49.09931,11885.721,16571.613,18111.914,49.321404,93.872345,162.27475,
233,257.9383563067777,0.39537868,,,,31,12,[M+K]+,,2,111;233,218.97671,0,68.595695,37.300407,1341.5491,2054.4475,2049.8367,0,0,29.558586,
133,147.02557212573757,0.39545515,,,,31,25,[M+NH4]+,,2,133;159,128.99179,96.30885,119.69893,170.58008,3532.5361,4218.631,4233.4653,142.19034,201.18274,62.60927,
111,219.9855066902684,0.39646396,,,,31,10,[M+Na]+,,3,81;84;111,196.99508,21.632526,26.120277,0,3320.022,4830.4414,4752.74,0,0,0,
186,200.97305317841588,0.3972162,,,,31,15,[M+H]+,,2,209;186,199.96579,537.63916,622.3619,192.91238,4525.9546,6582.424,6651.971,545.80164,158.49539,374.93323,
116,201.975602478443,0.39790046,,,,31,19,[M+Na]+,,2,84;116,178.98521,140.42259,107.35209,71.29197,1045.981,1580.2145,1596.7878,137.76228,212.69695,66.632225,
232,224.9899469755285,0.4009664,,,,31,7,[M+Na]+,,2,230;232,202.00021,31.774862,0,27.623062,1055.2548,1536.05,1866.3113,39.71694,28.675371,28.787405,
84,179.99131228095473,0.40147793,,,,31,22,[M+K]+,,3,105;84;187,141.02778,259.54855,163.84303,91.75159,3290.5364,3776.2373,4028.2202,199.35114,113.02356,198.06512,
61,222.9305123587877,0.40418237,,,,31,27,[2M+K]+,,2,61;154,91.98483,199.86163,178.84871,162.53079,1380.1262,1872.6559,2166.472,125.15358,114.08937,126.68169,
226,132.0145557607872,0.40647808,,,,31,33,[M+NH4]+,,2,234;226,113.98149,0,0,19.023376,492.06747,676.18024,708.88025,0,0,0,
237,290.94328685203,0.40716347,,,,31,40,[M-H+2Na]+,,2,237;199,245.97345,0,34.435287,42.442726,610.8297,1107.1118,1292.137,34.806168,26.351673,54.62152,
209,217.99914713163528,0.4072289,,,,31,15,[M+NH4]+,,3,186;209;80,199.96579,199.90544,152.84929,589.20447,730.9363,804.53107,586.6421,480.6991,597.5678,341.45645,
192,239.96709674917443,0.4088852,,,,31,11,[M+Na]+,,2,121;192,216.97823,122.24802,223.46442,119.13393,3977.0134,4463.4243,4573.743,55.218643,66.84254,59.097755,
118,229.94295046622202,0.40966293,,,,31,16,[M-H+2Na]+,,2,230;118,184.97246,0,0,0,151.78798,887.90906,892.9336,0,0,0,
94,209.9349376402658,0.41283488,,,,31,21,[M+H-H2O]+,,2,94;89,226.93781,0,0,0,98.050446,682.1779,426.2533,25.393364,0,0,
109,202.97057907287805,0.41369903,,,,31,35,[M+H-H2O]+,,2,109;120,219.9733,0,0,0,718.18805,1529.5876,1564.4297,0,0,0,
83,304.9695035692916,0.4136989,,,,31,28,[M-H+2Na]+,,2,83;196,259.99841,0,0,0,201.55249,752.9581,884.5679,0,0,0,
144,243.99703681428159,0.4157178,,,,31,29,[M+H]+,,2,162;144,242.9892,0,0,0,8506.096,12606.284,12961.941,0,0,0,
159,258.9909387984839,0.415717,,,,31,25,[2M+H]+,,2,133;159,128.99179,0,0,0,75.79466,458.7354,449.12946,0,0,0,
151,267.0131305931259,0.4157178,,,,31,9,[2M+H]+,,2,177;151,133.00239,0,0,0,2723.7239,3970.5415,4269.1978,0,0,0,
162,287.95980060413996,0.4157178,,,,31,29,[M-H+2Na]+,,2,162;144,242.9892,0,0,0,267.51688,801.09204,850.09436,0,0,0,
183,125.03836475316218,0.4177413,,,,31,24,[M+NH4]+,,2,183;246,107.00407,0,0,0,383.08377,773.139,737.65936,0,0,0,
191,220.98102433417645,0.4177358,,,,31,35,[M+H]+,,2,120;191,219.9733,0,0,0,2952.0037,4687.641,4438.8076,0,0,0,
196,261.0057470104812,0.4177358,,,,31,28,[M+H]+,,2,83;196,259.99841,0,0,0,564.07983,830.8927,963.6001,0,0,0,
160,263.98157211152085,0.4177358,,,,31,17,[M+Na]+,,2,160;141,240.99239,0,0,0,125.118866,336.33862,401.0488,0,0,0,
197,265.01593263004287,0.4177358,,,,31,,,,,,,0,0,0,10123.854,14636.74,15814.007,0,0,0,
225,117.99093455383705,0.41974902,,,,31,36,[M+H-H2O]+,,2,225;240,134.99438,0,0,0,651.444,886.1745,962.5361,0,0,0,
167,240.95333278073522,0.4197483,,,,31,34,[M+NH4]+,,2,167;221,222.91965,0,0,0,480.50067,666.5208,824.61273,0,0,0,
212,241.01502566675288,0.4197483,,,,31,18,[M+NH4]+,,2,212;141,222.98153,0,0,0,287.9682,373.6661,410.8645,0,0,0,
221,245.90900756255948,0.41976008,,,,31,34,[M+Na]+,,2,167;221,222.91965,0,0,0,622.27893,775.3396,585.78656,0,0,0,
240,292.9783027897241,0.42177263,,,,31,36,[2M+Na]+,,2,225;240,134.99438,0,0,0,219.93365,957.32916,1120.7932,0,0,0,
105,124.02390889603137,0.4225952,,,,31,22,[M+H-H2O]+,,2,84;105,141.02778,22.622849,31.981846,0,838.3639,1257.3373,1233.388,23.982716,0,28.489962,
154,110.01981529986257,0.42271486,,,,31,27,[M+NH4]+,,2,61;154,91.98483,217.43326,104.7733,329.5956,239.77795,212.12727,975.8142,212.67458,252.68964,428.68735,
107,141.05374627758965,0.42902568,,,,31,38,[M+NH4]+,,2,107;105,123.01828,172.57126,83.444565,175.82661,1529.8817,1765.7571,1875.2959,152.70395,229.23317,307.23514,
234,266.9276458989227,0.42925322,,,,31,33,[2M+K]+,,2,234;226,113.98149,57.06646,40.08674,28.873066,1778.0198,2289.823,2304.0967,150.84363,60.50164,36.378616,
193,242.00045848584037,0.42936942,,,,31,,,,,,,40.96984,156.0605,80.20308,31426.334,45636.75,49128.844,190.38234,95.31198,33.71557,
120,242.96150392161772,0.43038097,,,,31,35,[M+Na]+,,3,109;120;191,219.9733,0,0,0,157.07758,536.5842,743.55554,0,0,0,
208,196.0072344660859,0.43150482,,,,31,23,[M+H]+,,2,189;208,195.00015,0,24.728254,0,201.97794,961.9901,330.47263,33.395912,0,0,
199,284.93854088287367,0.4369203,,,,31,40,[M+K]+,,3,237;199;276,245.97345,59.845184,233.51083,173.71143,4573.3223,5842.5093,5607.004,319.17645,144.6711,142.76582,
658,192.91103704625758,0.4428637,,,,31,41,[M+K]+,,2,570;658,153.9475,27.453178,0,37.523033,9454.398,9755.414,10422.975,33.961235,35.89572,0,
622,284.9107890759573,0.4462101,,,,31,44,[M+H]+,,2,505;622,283.90463,1103.5204,1231.8685,1671.0056,48.810646,0,42.099167,1463.4457,1632.5673,1351.6637,
273,247.89619324882273,0.44919416,,,,31,54,[M+H-H2O]+,,2,474;273,264.90098,2910.9468,2544.6072,2815.6084,216.06752,263.62582,209.78519,2120.7083,2343.458,2383.9922,
395,251.91452429942942,0.4495291,,,,31,48,[M+H]+,,2,416;395,250.90714,528.2514,582.6786,382.79364,92.90885,123.72596,238.77551,1311.4524,506.07156,425.8012,
468,300.9076351513506,0.449765,,,,31,43,[M+H]+,,2,468;373,299.8996,3498.9507,2631.6458,3241.923,269.60474,918.94025,697.7581,2048.5476,3085.963,3014.1326,
276,268.9620581750314,0.44978973,,,,31,40,[M+Na]+,,2,199;276,245.97345,1269.1515,896.41345,641.25305,7799.654,10229.612,11056.111,991.09705,1259.4729,381.1018,
511,600.8339752232183,0.4498976,,,,31,65,[M+Na]+,,2,664;511,577.84694,33.937645,0,78.44682,6126.6543,5379.077,3260.9893,22.756504,296.07767,0,
540,289.90788823099206,0.44998354,,,,31,50,[M+H]+,,2,618;540,288.90211,675.0084,852.50275,945.66675,53.87182,109.0642,78.90291,869.8109,932.3092,512.3304,
717,494.8112468278103,0.45142445,,,,31,217,[2M+Na]+,,2,708;717,235.91003,29.434803,0,0,20651.725,26062.617,27514.535,0,0,29.57887,
645,232.91950686905224,0.45178926,,,,31,49,[M+H]+,,1,480,231.91137,3516.1643,3090.0264,4067.876,475.22937,928.90564,585.2076,2761.7295,3420.5793,3093.8792,
435,142.99107965516316,0.45194212,,,,31,53,[M+Na]+,,2,435;402,120.00136,1888.1145,931.0189,1832.5491,424.52417,804.5277,765.102,1545.8923,1545.012,986.92444,
388,311.93010778602456,0.4524757,,,,31,45,[M+H]+,,2,492;388,310.9254,1402.6711,2608.2068,2935.9944,69.61452,0,28.860527,2319.8474,2616.637,2474.757,
295,180.08712321734973,0.45477757,,,,31,230,[M+H]+,,2,653;295,179.08015,74.998634,243.80447,498.91895,18111.771,18244.273,19142.053,260.82568,70.91548,319.6991,
307,362.88485722695197,0.45603192,,,,31,59,[M+H]+,,1,375,361.8819,2559.4207,1793.4098,2514.9456,49.69249,66.2175,68.828125,1191.4119,1408.7007,1368.9591,
709,276.8723660184369,0.45642006,,,,31,69,[M+K]+,,2,656;709,237.90873,0,24.622429,0,20818.842,22296.398,25681.098,0,0,0,
586,562.7985566125831,0.4564467,,,,31,56,[M+K]+,,2,585;586,523.83618,0,0,42.285007,15333.855,17722.83,18225.303,0,0,0,
581,462.8625382041864,0.45723867,,,,31,85,[M+Na]+,,3,704;581;716,439.87079,35.05419,0,22.721062,105633.58,100305.914,72528.98,0,0,0,
745,368.89206264939025,0.45762497,,,,31,72,[2M+H-H2O]+,,2,601;745,192.94608,1634.3715,1117.2098,287.97424,113.71333,43.136414,50.92576,733.60986,1600.4667,1263.3082,
238,161.01745382134735,0.45784485,,,,31,42,[M+NH4]+,,2,238;276,142.98315,87.2602,90.50097,143.7444,270.70123,840.92944,873.9084,191.32053,108.41112,143.42451,
643,404.91723975148045,0.45805922,,,,31,60,[M+Na]+,,2,643;444,381.93137,1666.4982,1366.1125,2044.3309,0,301.8717,105.19685,1232.4115,1994.7118,1514.8057,
612,436.88028474922663,0.45906124,,,,31,71,[2M-H+2Na]+,,2,364;612,195.95448,2333.9612,1625.2772,2257.2783,0,65.68045,45.3565,1387.2234,2256.7449,1626.8325,
280,147.11367372208898,0.46065807,,,,31,57,[M+H]+,,2,285;280,146.10591,239.60135,329.08694,313.88538,5404.89,6357.0957,6448.5664,201.34633,116.927155,435.25165,
492,349.89112501335114,0.46159533,,,,31,45,[M+K]+,,2,492;388,310.9254,561.4346,1196.5118,1344.8547,167.96704,296.24124,99.87503,1228.9218,1120.5505,1453.7216,
373,322.8880580926621,0.46178,,,,31,52,[M+H-H2O]+,,2,307;373,339.89349,2643.1917,2372.6255,3040.9763,517.785,487.75287,118.62636,1775.6849,3014.1826,2107.6533,
343,200.9526696581241,0.46179995,,,,31,68,[M+H]+,,2,343;506,199.94637,2985.401,2368.647,2726.0063,273.87427,146.30289,163.8706,775.40204,3013.0347,2375.751,
302,340.93271082911025,0.46180874,,,,31,64,[M+Na]+,,2,302;342,317.94491,6402.9614,5870.11,6671.225,4994.193,5751.4194,3608.051,4938.613,6081.446,5518.167,
328,333.89528292902014,0.46246037,,,,31,66,[M+Na]+,,2,433;328,310.90611,21097.047,18035.889,19939.545,5697.7954,4567.27,2359.1018,14289.97,18795.074,16292.865,
305,288.92212081959957,0.4624673,,,,31,78,[M+Na]+,,2,469;305,265.93253,77731.88,69362.09,78612.42,35324.67,34440.527,28134.174,59716.68,70740.77,65657.05,
700,108.95022845187026,0.46265948,,,,31,119,[M+Na]+,,2,700;651,85.96041,34.643005,29.592762,36.81038,4614.708,4170.765,4083.366,40.318462,82.79057,59.04771,
285,169.09463639572266,0.46295324,,,,31,57,[M+Na]+,,2,285;280,146.10591,33.566498,61.56362,36.033123,1657.0724,1791.9248,2010.316,0,34.72277,75.26652,
521,886.7644974815577,0.46340913,,,,31,159,[M+K]+,,2,562;521,847.80075,46.018616,0,0,7578.4434,6767.4526,2796.8828,0,0,0,
535,615.8288798046674,0.46376663,,,,31,100,[M+H-H2O]+,,2,547;535,632.83385,2502.396,1470.9147,2698.0723,352.6787,41.172424,66.77452,1214.9962,2021.3364,1496.0748,
412,472.9028415070454,0.4637858,,,,31,74,[M+Na]+,,2,412;360,449.91243,6180.306,4518.897,6182.922,269.7421,130.04144,76.945465,3687.6418,5741.799,4358.8594,
422,696.8481407630977,0.4637717,,,,31,81,[M+K]+,,2,580;422,657.88349,5290.859,3217.6665,4897.2417,524.9031,443.69315,81.27232,2600.7393,4284.6396,2939.161,
347,265.9076082253016,0.46383652,,,,31,54,[M+H]+,,2,347;474,264.90098,9658.112,8693.216,10292.461,1837.012,1670.6565,1556.8586,8399.781,9336.1875,8405.868,
467,902.7314394340234,0.46384493,,,,31,85,[2M+Na]+,,3,716;391;467,439.87079,0,39.310905,0,6379.4766,6313.865,3854.3901,0,0,0,
570,176.93634757793018,0.46429187,,,,31,41,[M+Na]+,,2,570;658,153.9475,0,0,33.289307,6301.931,5281.3154,3388.829,0,0,79.75992,
554,354.89604139032474,0.46430662,,,,31,73,[M+H]+,,2,554;400,353.8891,1809.6031,1395.3453,2081.2363,65.66096,87.722916,0,710.8074,1747.3033,1760.689,
480,254.89973126383336,0.46432957,,,,31,49,[M+Na]+,,2,480;645,231.91137,2389.0874,1935.9706,2194.0789,159.06958,88.0605,0,1606.5771,2221.1284,1883.3287,
590,682.8004574414529,0.4642905,,,,31,114,[M+Na]+,,2,590;592,659.8109,0,0,0,22649.037,21188.748,14088.64,28.115921,0,0,
636,362.8909823083092,0.4644227,,,,31,59,[M+H]+,,2,636;375,361.8819,964.1843,1764.805,616.75586,0,55.710686,0,1191.4119,636.7633,393.21155,
477,479.853572502069,0.464434,,,,31,84,[M+H-H2O]+,,2,416;477,496.85782,7491.4873,5561.593,7103.2485,1055.2001,491.3997,137.03188,4691.44,6891.6694,5282.106,
376,469.87037805275884,0.46443847,,,,31,75,[M+Na]+,,2,427;376,446.88123,2011.53,1283.0803,1936.729,0,63.850883,0,1313.114,1601.718,1392.6761,
299,164.93043468301946,0.46448326,,,,31,142,[M+Na]+,,2,299;698,141.94123,18982.766,18442.672,18640.584,6118.779,5525.68,2662.3787,15430.192,18075.016,16773.717,
400,376.8786463480881,0.46446595,,,,31,73,[M+Na]+,,2,554;400,353.8891,1218.4766,1002.8451,673.6766,179.7057,162.08981,155.99625,824.8717,587.8755,376.68057,
342,356.9094859618951,0.4644687,,,,31,64,[M+K]+,,2,302;342,317.94491,33678.582,27549.51,33281.434,15667.902,15098.617,12093.765,23915.031,30201.494,26388.201,
345,308.8904334076592,0.46448672,,,,31,134,[M+K]+,,2,345;610,269.92657,2354.1624,2974.6697,3254.123,1287.3405,765.02423,1255.6532,1146.3071,1154.8113,2821.8062,
433,293.9028720375715,0.46452257,,,,31,121,[M+Na]+,,2,453;433,270.9135,4754.037,4839.386,4912.874,574.8769,921.5537,562.9222,3809.8623,4639.1333,4040.4656,
403,304.9419808245168,0.46455505,,,,31,143,[M+Na]+,,2,403;516,281.95309,1625.5563,1216.4467,1891.7499,0,69.26558,98.05996,1060.2649,1369.9043,1325.8268,
585,546.8261821979145,0.46492267,,,,31,56,[M+Na]+,,2,585;586,523.83618,65.15177,0,0,37015.918,40999.11,31547.639,0,0,0,
598,834.7448316000055,0.46490902,,,,31,125,[M+Na]+,,2,598;599,811.75687,0,0,0,10751.189,9979.741,6730.9043,0,0,31.878155,
413,474.9412753958895,0.46506992,,,,31,113,[2M+Na]+,,2,413;528,225.97554,4478.221,3046.9136,4145.205,175.88045,260.0144,0,2443.778,3709.2876,3108.513,
411,451.86005799582256,0.46510088,,,,31,92,[M+Na]+,,3,427;411;459,428.87081,5342.3857,3630.7168,5224.812,338.67758,475.61334,128.71457,3082.92,4191.115,3523.5198,
534,544.8958885303992,0.4651085,,,,31,82,[M+Na]+,,2,534;503,521.9082,2344.788,1477.683,1941.0237,512.3401,556.6453,260.65356,1319.2087,1941.1255,1541.5283,
357,492.8847079807492,0.46511915,,,,31,77,[M+K]+,,2,357;374,453.92034,17379.688,12149.278,16828.969,5059.6733,4923.842,3248.5144,10207.21,14608.243,12466.3955,
414,482.92953606565675,0.46512958,,,,31,88,[M+Na]+,,2,414;390,459.93973,5410.484,1622.0425,4823.4717,65.582695,178.90413,122.48789,1474.4321,3414.7295,1987.6947,
374,476.90834290621234,0.46513095,,,,31,77,[M+Na]+,,2,357;374,453.92034,3553.5352,2479.1035,3924.4219,1568.4061,1430.6267,533.5442,1958.8744,2959.8364,2574.1436,
354,361.8906107270221,0.46514553,,,,31,93,[M+H]+,,2,354;1058,360.88305,22863.377,19400.479,21989.234,5217.173,5299.23,2459.641,16783.332,20938.0,19037.299,
427,429.8780095935654,0.46514136,,,,31,92,[M+H]+,,2,427;411,428.87081,3996.7786,3418.2476,3960.8962,627.4699,131.23318,143.3227,3010.999,3879.0488,3252.8604,
377,537.858352665371,0.46530065,,,,31,91,[M+Na]+,,2,377;429,514.86882,2098.6245,1373.8242,2407.3606,0,106.128235,0,1423.1567,1871.0734,1604.0878,
404,226.93039247120424,0.46575943,,,,31,127,[M+K]+,,2,308;404,187.96755,8961.5,5228.5806,8285.93,1486.7069,985.0824,172.50333,4078.7773,6965.94,5347.396,
384,510.8580635534011,0.46576527,,,,31,86,[M+Na]+,,2,384;360,487.86798,2368.5447,1462.7173,1902.9276,954.6221,978.1638,419.75436,1327.151,1608.6703,1298.5483,
360,488.87439887454923,0.4657699,,,,31,86,[M+H]+,,2,384;360,487.86798,4927.69,3746.4285,5286.494,432.6344,1347.6497,694.3767,3256.1191,4144.529,3662.6807,
406,352.8990256989046,0.46578673,,,,31,118,[M+H]+,,2,504;406,351.89249,6823.1406,5668.711,6373.53,1281.209,1003.23474,1000.864,4523.3384,6033.0464,5798.618,
383,140.06855272875777,0.46581453,,,,31,,,,,,,42326.434,31762.984,42116.117,16538.852,16740.309,13113.954,27838.195,36886.406,31211.963,
419,628.861186186262,0.46577194,,,,31,111,[M+Na]+,,2,457;419,605.87143,7555.4985,4493.3535,7109.111,1289.5913,821.3858,707.76184,3709.6853,6515.8726,4840.471,
503,560.8728919136187,0.46578673,,,,31,112,[M+Na]+,,2,456;503,537.88335,10730.642,7385.6875,10243.887,2231.5273,2514.3645,1784.8948,5657.128,8747.492,7280.949,
1058,383.8721707585634,0.46580622,,,,31,93,[M+Na]+,,3,354;1058;607,360.88305,4972.661,4149.6675,6150.342,621.66785,567.0952,227.26053,3232.9277,5636.4097,4596.9785,
416,519.8478844002522,0.46579283,,,,31,84,[M+Na]+,,3,429;416;477,496.85782,4543.8384,2957.8025,4171.417,194.73912,138.56036,0,2598.5315,3506.4478,3099.6792,
506,444.86586449812995,0.46580204,,,,31,146,[M+Na]+,,2,647;506,421.87671,1291.8701,664.18335,1143.4987,109.34889,213.88022,234.89267,542.50305,783.74756,705.2549,
425,770.8531800703639,0.4657738,,,,31,135,[M+K]+,,2,520;425,731.89029,45204.168,17111.225,36867.645,1802.3037,575.49133,211.26741,12546.909,30233.7,20044.43,
496,374.92488723478067,0.4658241,,,,31,97,[2M+Na]+,,2,402;496,175.96757,500.13202,147.989,947.04926,0,0,0,520.40894,596.49884,342.7737,
375,379.91822926289666,0.46583965,,,,31,59,[M+NH4]+,,3,636;307;375,361.8819,4648.5044,3460.986,4572.7397,0,0,0,2812.37,4190.6655,3384.7544,
352,686.8931551446834,0.46582127,,,,31,144,[2M+K]+,,2,352;481,323.96414,2049.2485,485.23947,1710.5621,0,0,0,122.844986,1171.8655,594.3633,
600,954.7472175671944,0.46582747,,,,31,132,[M+Na]+,,2,600;563,931.75884,0,0,0,5496.082,4335.929,2167.6106,59.865868,0,0,
379,872.8354274185909,0.4658428,,,,31,105,[2M-H+2Na]+,,2,483;379,413.93297,5226.213,1400.8854,3653.017,0,0,0,1392.2343,2920.6265,1810.3562,
660,410.852054699236,0.46607012,,,,31,175,[M+K]+,,3,660;576;595,371.8861,31.915009,0,69.1275,61335.742,67827.766,64009.633,0,76.73392,38.73562,
387,294.939539866049,0.46643052,,,,31,124,[M+K]+,,2,447;387,255.97659,132741.08,82357.74,126410.4,34577.125,26395.99,15420.09,65673.46,104771.586,80897.21,
402,158.96402252516705,0.46644485,,,,31,97,[M+H-H2O]+,,2,402;496,175.96757,290875.78,200599.55,279754.5,135356.56,116534.516,131659.31,162999.69,248564.27,189249.22,
415,420.8863820530091,0.46642378,,,,31,110,[M+H]+,,2,394;415,419.87992,7769.2075,5676.4014,6942.8154,659.37646,625.27826,331.2819,4732.516,6419.004,5853.8994,
390,498.90229663136637,0.46643052,,,,31,88,[M+K]+,,2,414;390,459.93973,169429.39,82864.16,155012.5,26167.28,19102.193,8697.181,65067.32,122797.37,87131.63,
444,364.93142357359903,0.46644485,,,,31,60,[M+H-H2O]+,,2,643;444,381.93137,7140.7983,3736.5999,6301.213,1154.2097,722.0823,339.6917,3225.6748,5750.3423,4186.959,
391,440.870468050627,0.46644485,,,,31,85,[M+H]+,,2,391;467,439.87079,9744.452,8185.238,10072.705,14243.332,14904.675,11551.687,6294.5557,8541.476,7985.427,
474,547.8400858060862,0.46644625,,,,31,54,[2M+NH4]+,,3,347;474;273,264.90098,2824.9634,1838.3324,2359.7136,443.89465,256.48175,472.51562,1423.3135,2449.88,1895.4363,
543,612.8846362509446,0.46644047,,,,31,95,[M+Na]+,,2,543;419,589.89672,1678.7734,966.5379,1314.1317,283.5576,252.58864,137.41573,500.69965,1064.5513,1006.0723,
429,497.86521224855704,0.4664712,,,,31,84,[M+H]+,,2,416;429,496.85782,5169.704,4089.3975,5202.62,188.72104,409.83038,333.49042,3572.4473,4633.5107,4240.7104,
618,306.9374306681426,0.46658373,,,,31,50,[M+NH4]+,,2,618;540,288.90211,2282.703,1885.543,2404.052,200.59981,99.44101,0,1798.9758,2127.675,2212.8557,
553,828.8109816495803,0.46654543,,,,31,122,[M+K]+,,2,553;500,789.84905,714.56055,704.30426,1215.6176,132.3135,78.874374,0,659.73865,1406.3181,463.00772,
448,838.8408680770071,0.4665496,,,,31,,,,,,,34401.348,11434.433,28016.57,912.3224,244.1188,0,8879.209,21240.764,13069.593,
580,680.8712083192174,0.4665712,,,,31,81,[M+Na]+,,2,422;580,657.88349,534.70984,529.276,711.00793,73.702866,67.54008,0,455.8228,856.4634,696.9361,
424,736.8608255133562,0.4668275,,,,31,161,[2M-H+2Na]+,,2,424;481,345.94519,10182.235,3219.8208,8480.346,0,0,0,2328.1072,5695.497,3744.3274,
436,226.95201609147153,0.4670872,,,,31,152,[M+K]+,,2,601;436,187.98897,1206835.4,785944.6,1167853.2,361825.56,295702.16,182655.27,610167.9,1023498.56,799358.44,
437,362.9269603437252,0.4670872,,,,31,144,[M+K]+,,2,437;481,323.96414,330429.06,181853.66,304578.66,68179.55,53530.496,28423.693,144628.75,256673.89,186151.62,
438,430.91472381470754,0.4670872,,,,31,123,[M+K]+,,2,483;438,391.95172,309940.7,162441.34,277229.06,55513.242,39116.637,20187.662,125804.61,229966.28,166640.64,
