"Column1","Column2","Column3","Column4","Column5","Column6","Column7","Column8","Column9","Column10","Column11","Column12","Column13","Column14","Column15","Column16","Column17","Column18","Column19","Column20","Column21","Column22","Column23","Column24","Column25","Column26","Column27","Column28","Column29","Column30","Column31","Column32","Column33","Column34","Column35","Column36","Column37","Column38","Column39","Column40","Column41","Column42","Column43","Column44","Column45"
"164",0.426,110.00914,"Unknown","[M+H]+","adduct linked to 961_[M+ACN+H]+; found in higher mz's MsMs_961; adduct linked to 777_[M+CH3OH+H]+; adduct linked to 2440_[2M+H]+; adduct linked to 3480_[2M+ACN+H]+","0.889","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","169.55","Orbi_P_E2_WS03A","110.00925:3553754 111.0126:499974 112.01596:616715","58.99883:11751 82.00732:4577 82.01455:160874 96.98869:3165 100.02496:728558 110.06059:4740",564303,617930,574708,565938,551341,594457,10180395,12828561,13274928,"578112.760416667","12094628","24165.2399757061","1672730.36033576"
"172",0.466,110.07174,"Unknown","[M+H]+","","0.111","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","139.21","Orbi_P_E2_WS03C","110.07174:720204 111.07509:92340 112.07845:0","",27787,19138,42398,67295,5439,54032,2441201,2473742,3083691,"36014.7946777344","2666211.16666667","22940.0691240035","361914.049831011"
"179",10.528,111.02072,"Unknown","[M+NH4]+","adduct linked to 1767_[2M+H]+","0.111","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","5.44","Orbi_P_E2_WS03C","111.02072:50333 112.02407:84705 113.02743:17897","",2146,1497,2239,1788,1571,2072,1645,0,71216,"1885.58662923177","24286.9974772135","311.973700560202","40649.6558563342"
"209",0.83,113.0351,"Unknown","[M+H]+","","0.333","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","23.18","Orbi_P_E2_WS03B","113.0351:168859 114.03845:0 115.04181:37389","",5234,1477,0,1450,1825,1341,420731,490990,448665,"1887.89082845052","453461.9375","1756.24291552375","35374.3912658672"
"216",5.57,113.31461,"Unknown","[M+H]+","similar chromatogram in higher mz_11289","0.333","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","123.51","Orbi_P_E2_WS03B","113.31461:19648 114.31796:0 115.32132:0","",0,0,0,0,0,0,43194,45126,39544,"0","42621.4388020833","0","2834.62202984782"
"253",0.563,116.07108,"Unknown","[M+H]+","adduct linked to 693_[M+Na]+; adduct linked to 323_[M+3ACN+2H]2+; adduct linked to 1152_[M+2Na-H]+; adduct linked to 2763_[2M+H]+; found in higher mz's MsMs_8028; found in higher mz's MsMs_1599; found in higher mz's MsMs_586; found in higher mz's MsMs_8290; found in higher mz's MsMs_3632","1","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","2179.87","Orbi_P_E2_WS03A","116.07108:59014852 117.07443:4399044 118.07779:6749744","68.05018:24886 70.06599:19302888",1258436,516165,862534,1091115,923720,992450,171660768,168062848,157522032,"940736.526041667","165748549.333333","250154.690939438","7347989.36160943"
"254",1.241,116.07108,"Unknown","[M+H]+","adduct linked to 4185_[2M+3H2O+2H]+; similar chromatogram in higher mz_4167","0.333","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","88.53","Orbi_P_E2_WS03A","116.07116:719239 117.07451:44576 118.07787:5745229","70.06603:20186 74.93829:9818 99.0447:6923",371235,591475,247306,328646,546630,211205,3548424,3605032,5334376,"382749.40625","4162610.83333333","155727.879711784","1015173.4894845"
"285",5.168,117.09149,"Unknown","[M+IsoProp+Na+H]+","adduct linked to 49_[2M+K]+","0.333","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","5.07","Orbi_P_E2_WS03C","117.09149:111648 118.09484:6387962 119.0982:360230","",61364,46147,43122,5785,3478,9169,269636,213061,363895,"28177.4215494792","282197.197916667","24981.5466276351","76197.33952437"
"286",4.178,117.31325,"Unknown","[2M+ACN+Na]+","adduct linked to 177_[M+2ACN+2H]+","0.222","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","13.25","Orbi_P_E2_WS03B","117.31325:11047 118.3166:0 119.31996:0","",0,0,0,0,0,0,23642,24778,17301,"0","21906.7473958333","0","4029.1925657966"
"346",0.866,121.0653,"Unknown","[M+NH4]+","adduct linked to 2708_[2M+Na]+","0.222","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","14.8","Orbi_P_E2_WS03C","121.06517:291316 122.06852:42551 123.07188:113910","61.56378:2794 91.05484:14664 93.0453:26113",37825,50066,32455,35214,57898,68266,1116890,1300739,1144330,"46953.9514973958","1187319.75","14247.8794168624","99177.6491153469"
"369",0.92,123.05576,"Unknown","[M+NH4]+","adduct linked to 3191_[2M+K]+","0.333","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","479.19","Orbi_P_E2_WS03A","123.05576:4442819 124.05911:329975 125.06247:89896","78.03468:5010 106.02928:13014 123.05567:1121222",109945,95819,253670,180149,101680,134310,15001192,16167729,13716451,"145928.638020833","14961790.6666667","61119.5358734078","1226113.90462809"
"392",5.264,123.31247,"Unknown","[M+NH4]+","adduct linked to 107_[M+2H]+","0.333","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","29.49","Orbi_P_E2_WS03B","123.31247:35085 124.31582:0 125.31918:0","",0,0,0,0,0,0,109279,118133,115369,"0","114260.239583333","0","4530.17642546304"
"397",0.575,124.03978,"Unknown","[M+H]+","adduct linked to 3150_[2M+H]+; adduct linked to 2160_[M+2ACN+H]+","0.333","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","12.34","Orbi_P_E2_WS03B","124.03978:541169 125.04313:0 126.04649:445293","",121161,53079,36379,88162,82318,59070,1513476,1810101,1794975,"73361.7259114583","1706184","30223.8173203652","167060.986932963"
"398",2.708,124.07623,"Unknown","[M+DMSO+H]+","adduct linked to 489_[M+2ACN+H]+; similar chromatogram in higher mz_9883","0.333","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","11.24","Orbi_P_E2_WS03A","124.07623:516189 125.07958:314944 126.08294:20319","55.05517:5499 79.05508:20077 81.07074:16944 106.06583:8707",11106,13208,24407,27714,39638,29110,1614328,1632546,1329211,"24197.1881510417","1525362","10650.1297778517","170115.687297874"
"449",0.51,126.05273,"Unknown","[M+H]+","","0.333","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","22.96","Orbi_P_E2_WS03B","126.05273:189556 127.05608:0 128.05944:0","",13680,7824,26413,7607,5885,18414,391421,474942,289846,"13303.8684895833","385403.03125","7945.10852475159","92694.2078973113"
"459",1.955,127.03931,"Unknown","[M+H]+","","0.111","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","5.42","Orbi_P_E2_WS03B","127.03931:46320 128.04266:0 129.04602:6416","",37026,41316,28071,21989,15892,14472,280486,319112,278296,"26461.0219726563","292631.447916667","11048.187261093","22958.8972618633"
"470",4.178,127.31113,"Unknown","[M+H]+","","0.222","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","13.33","Orbi_P_E2_WS03B","127.31113:11706 128.31448:0 129.31784:0","",0,0,0,0,0,0,22489,27340,20635,"0","23487.9759114583","0","3462.18190925138"
"474",0.425,128.01953,"Unknown","[M+H]+","adduct linked to 1337_[M+ACN+H]+; adduct linked to 1418_[M+2Na-H]+; adduct linked to 2115_[M+2K-H]+","0.889","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","215.29","Orbi_P_E2_WS03A","128.01967:5157384 129.02302:666929 130.02638:933960","96.86512:3030 105.00357:4997",823556,856954,832939,878484,852556,869442,15356548,18040794,18652420,"852321.770833333","17349920.6666667","20987.1119015511","1753189.24595417"
"498",4.408,128.27803,"Unknown","[2M+ACN+H]+","adduct linked to 797_[2M+3H2O+2H]+; similar chromatogram in higher mz_500","0.333","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","462.89","Orbi_P_E2_WS03C","128.27803:38553 129.28138:0 130.28474:0","",0,0,0,0,0,0,89168,90290,94884,"0","91447.2083333333","0","3028.81889880747"
"529",0.421,130.01706,"Unknown","[M+H]+","adduct linked to 1310_[M+K]+; adduct linked to 1392_[M+ACN+H]+; adduct linked to 4050_[2M+Na]+; adduct linked to 4477_[2M+K]+","0.556","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","71.88","Orbi_P_E2_WS03C","130.01706:1027906 131.02041:45500 132.02377:33252","",212468,197685,181958,210528,153266,251241,2484558,2905778,3030970,"201190.786458333","2807101.91666667","32858.3817663156","286259.063102412"
"530",0.57,130.05022,"Unknown","[M+H-2H2O]+","adduct linked to 1986_[M+CH3OH+H]+; found in higher mz's MsMs_914","1","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","753.49","Orbi_P_E2_WS03A","130.05014:26328132 131.05349:1689745 132.05685:514946","84.04514:4975678 102.05555:134321 112.04:22506",402697,366311,415613,417619,394116,421496,104236736,110098344,100068640,"402975.25","104801240","20688.2434007103","5038624.72867508"
"531",0.809,130.05025,"Unknown","[M+IsoProp+H]+","adduct linked to 114_[M+K]+; found in higher mz's MsMs_3836","0.444","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","727.2","Orbi_P_E2_WS03A","130.05025:8166865 131.0536:658251 132.05696:290813","70.06596:6635 130.05022:127202",361129,327060,385567,298531,343179,326171,20609792,20853538,19736894,"340272.984375","20400074.6666667","30367.2809876793","587119.64335162"
"533",2.908,130.06558,"Unknown","[M+Na]+","adduct linked to 3393_[2M+ACN+H]+; similar chromatogram in higher mz_11212","0.333","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","12.7","Orbi_P_E2_WS03A","130.06558:114604 131.06893:7540 132.07229:141292","",12001,4634,13270,9757,22306,13592,327741,304989,311430,"12593.41015625","314719.84375","5788.72376926487","11727.5628366219"
"581",0.881,132.10223,"Unknown","[M+H]+","adduct linked to 2373_[M+IsoProp+Na+H]+","0.444","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","779.81","Orbi_P_E2_WS03A","132.10223:9692356 133.10558:767424 134.10894:35390","69.07076:16105 108.95132:6615",392904,71810,240747,120323,217514,154957,29352252,32364514,27400742,"199709.114583333","29705836","113126.834648369","2500704.77081722"
"582",1.136,132.10225,"Unknown","[M+CH3OH+H]+","adduct linked to 1222_[M+ACN+Na]+","0.333","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","11.01","Orbi_P_E2_WS03B","132.10225:205368 133.1056:38374 134.10896:6736","",123554,147795,55739,74879,104296,150117,1801683,1225655,1505610,"109396.623697917","1510982.54166667","38547.7122123862","288051.331101587"
"583",0.601,132.10226,"Unknown","[M+2H]+","adduct linked to 1342_[M+K]+","0.778","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","123.09","Orbi_P_E2_WS03A","132.10222:2204424 133.10557:198968 134.10893:21802","55.93533:2225 68.05042:2236 86.06077:6649",554399,558770,554176,549389,702056,706229,9568297,10143873,9731594,"604169.645833333","9814588","77506.4532195512","296627.604870147"
"584",0.828,132.10228,"Unknown","[M+H]+","adduct linked to 1023_[M+Na]+","0.333","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","1419.15","Orbi_P_E2_WS03A","132.10225:13125712 133.1056:1133442 134.10896:70127","58.06609:4154 86.09715:944918 97.06528:2937 126.96157:4617 132.10228:20100",392904,61954,240747,65652,217514,114870,33163062,34609928,32725050,"182273.41796875","33499346.6666667","127786.423626311","986411.071256468"
"586",0.525,133.06108,"Unknown","[M+CH3OH+H]+","adduct linked to 1670_[M+2ACN+H]+","0.333","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","1802.89","Orbi_P_E2_WS03A","133.06105:15155688 134.0644:828538 135.06776:109469","60.7896:5450 116.03468:56509",52507,55216,17770,12478,19144,8640,50266916,52655168,48012356,"27625.9856770833","50311480","20684.6460994884","2321726.78827807"
"633",1.451,135.0442,"Unknown","[M+Na]+","found in higher mz's MsMs_6229; adduct linked to 1836_[M+DMSO+H]+","0.333","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","4.1","Orbi_P_E2_WS03C","135.0442:44073 136.04755:8478 137.05091:9141","",12090,15623,21721,18850,14135,10749,178869,187668,179198,"15527.8610026042","181911.666666667","4147.46616252134","4988.05910004388"
"634",1.845,135.04433,"Unknown","[M+H]+","found in higher mz's MsMs_6018; adduct linked to 5162_[2M+3H2O+2H]+; similar chromatogram in higher mz_8138","0.333","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","29.2","Orbi_P_E2_WS03B","135.04433:330595 136.04768:34611 137.05104:0","",12317,17314,4802,13263,16066,8993,885260,1031600,978450,"12125.7249348958","965103.4375","4630.96117735597","74077.531296503"
"635",2.233,135.04437,"Unknown","[M+H+K]+","found in higher mz's MsMs_1209; adduct linked to 2776_[2M+ACN+H]+","0.333","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","5.3","Orbi_P_E2_WS03B","135.04437:75688 136.04772:0 137.05108:26515","",7476,8459,7629,13370,11874,5250,232971,235750,186582,"9009.89322916667","218434.354166667","3030.41531413418","27619.5936963021"
"647",3.484,135.11716,"Unknown","[M+NH4]+","adduct linked to 295_[M+H]+; found in higher mz's MsMs_2621","0.444","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","30.13","Orbi_P_E2_WS03A","135.11714:443826 136.12049:44313 137.12385:0","59.83534:2109 93.07044:3120",200889,145112,175992,67260,27272,61703,1412101,1399048,1281682,"113037.887369792","1364277.125","70422.3067331835","71826.4859880436"
"664",0.584,136.06206,"Unknown","[M+ACN+2H]2+","adduct linked to 4700_[M+2K-H]+","1","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","295.66","Orbi_P_E2_WS03A","136.06206:5703606 137.06541:632725 138.06877:20403012","94.04085:26096 136.06204:2432497",479014,463647,488474,457564,343057,469973,14916970,14266627,13898680,"450288.03125","14360759","53666.9192912112","515629.960429958"
"667",2.64,136.07603,"Unknown","[M+Na]+","adduct linked to 1967_[M+IsoProp+Na+H]+","0.333","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","47.26","Orbi_P_E2_WS03A","136.07605:323535 137.0794:40935 138.08276:13520","80.69554:2202 136.07553:12908",53255,65701,38388,38004,28102,67720,974995,1111384,985639,"48528.2027994792","1024006.125","16225.9792847209","75858.2565353438"
"670",0.982,137.04611,"Unknown","[M+H]+","adduct linked to 4419_[2M+Na]+; similar chromatogram in higher mz_8858","0.333","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","30.29","Orbi_P_E2_WS03A","137.0461:221400 138.04945:262326 139.05281:273028","110.03561:3148",5332,6561,23709,6118,10511,4189,940666,1055060,979896,"9403.43798828125","991873.916666667","7328.44937116753","58130.1293157595"
"698",1.423,138.09132,"Unknown","[M+H]+","","0.111","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","5.04","Orbi_P_E2_WS03C","138.09132:41297 139.09467:6544 140.09803:40684","",11250,14663,1850,2265,20926,16290,194597,217846,206159,"11207.4131062826","206200.53125","7742.79146160161","11624.6340185271"
"756",2.48,140.1436,"Unknown","[M+H]+","","0.111","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","42.84","Orbi_P_E2_WS03C","140.1436:59680 141.14695:6188 142.15031:0","",0,0,0,0,0,0,167599,189107,162184,"0","172963.375","0","14240.7780037589"
"778",1.576,142.08659,"Unknown","[M+H]+","","0.333","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","8.12","Orbi_P_E2_WS03A","142.08659:68083 143.08994:22700 144.0933:20408","",9950,32819,16887,31061,39505,25030,302196,284025,265637,"25875.1463216146","283952.541666667","10917.8214037033","18279.310554824"
"782",0.851,142.12302,"Unknown","[M+H]+","adduct linked to 1597_[M+K]+","0.333","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","12.38","Orbi_P_E2_WS03B","142.12302:60805 143.12637:0 144.12973:10565","",6444,1631,2706,5559,8227,3645,203224,333625,217077,"4701.99133300781","251308.447916667","2479.0426033482","71623.5373249538"
"797",4.41,142.30844,"Unknown","[2M+3H2O+2H]+","adduct linked to 498_[2M+ACN+H]+","0.333","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","1548.58","Orbi_P_E2_WS03C","142.30844:79596 143.31179:0 144.31515:0","",0,0,0,0,0,0,258168,267192,253304,"0","259554.338541667","0","7047.00208211238"
"823",1.508,144.06572,"Unknown","[M-C6H8O6+H]+","adduct linked to 7048_[M+2ACN+H]+","0.333","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","50.69","Orbi_P_E2_WS03A","144.06587:362779 145.06922:27541 146.07258:325488","62.62532:2152 109.00546:2133 116.97237:14920",71656,60987,49226,40249,75049,34927,1483980,1451023,1606614,"55348.7565104167","1513872.33333333","16543.0793078453","81989.7986512969"
"824",0.924,144.06581,"Unknown","[M+NH4]+","adduct linked to 4958_[2M+ACN+Na]+","0.111","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","9.85","Orbi_P_E2_WS03B","144.06581:118942 145.06916:8311 146.07252:385525","",46368,36703,42631,41446,52748,72568,559443,566887,459130,"48743.8528645833","528486.645833333","12844.3473110928","60179.7532115484"
"825",1.057,144.06587,"Unknown","[M+H]+","adduct linked to 1282_[M+Na]+","0.333","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","187.1","Orbi_P_E2_WS03A","144.06583:3747987 145.06918:288545 146.07254:492073","61.24272:4612 70.06602:25560 119.618:2581",61035,30104,70427,44195,38932,42906,16224576,17232396,16426069,"47933.1979166667","16627680.3333333","14938.2132523588","533301.636408828"
"834",0.805,144.13841,"Unknown","[M+H]+","","0.111","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","24.66","Orbi_P_E2_WS03C","144.13841:96304 145.14176:0 146.14512:0","",3715,1947,5161,9930,2065,8249,219966,217944,219300,"5177.93442789714","219070.036458333","3294.87247531914","1030.55383584628"
"836",0.926,144.13855,"Unknown","[M-C6H8O6+H]+","adduct linked to 6228_[M+2Na-H]+","0.333","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","18.84","Orbi_P_E2_WS03B","144.13855:94798 145.1419:9547 146.14526:0","",1534,1500,3182,3989,1385,2416,309394,372016,326665,"2334.31966145833","336024.989583333","1067.89813250666","32342.8022851693"
"856",2.565,145.10135,"Unknown","[M+Na]+","adduct linked to 377_[M+H]+","0.111","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","4.46","Orbi_P_E2_WS03B","145.10135:24268 146.1047:6349 147.10806:76148","",4684,2125,3075,1242,3131,3112,62493,78197,66518,"2894.80938720703","69069.53125","1154.03164294399","8157.14103031149"
"866",2.074,146.0603,"Unknown","[M+H-2H2O]+","adduct linked to 2475_[M+K]+","0.111","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","18.24","Orbi_P_E2_WS03C","146.0603:218267 147.06365:16132 148.06701:10016","118.96777:6748 146.04829:2773",41485,15626,14823,39754,24381,44634,645507,631998,692737,"30117.169921875","656747.416666667","13488.3829655107","31891.517202753"
"867",3.563,146.06047,"Unknown","[M+Na]+","adduct linked to 4240_[2M+ACN+H]+; similar chromatogram in higher mz_5927","0.333","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","33.44","Orbi_P_E2_WS03A","146.06047:392466 147.06382:58238 148.06718:5554","96.86723:5195",13599,15696,40082,26340,24405,34681,1104777,1047796,1002601,"25800.5864257813","1051724.66666667","10354.2374064927","51200.8485654067"
"886",2.164,147.04425,"Unknown","[M+Li]+","adduct linked to 4622_[2M+Na]+","0.333","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","20.76","Orbi_P_E2_WS03A","147.04424:310392 148.04759:29346 149.05095:9912","61.57405:2490 119.04971:16015",1509,1235,1401,1317,1436,1328,1209744,1296887,1314801,"1371.30399576823","1273810.66666667","97.4894926679729","56201.4672241378"
"887",2.549,147.04427,"Unknown","[M-C6H10O4+H]+","adduct linked to 5205_[M+CH3OH+H]+","0.222","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","5.41","Orbi_P_E2_WS03B","147.04427:83590 148.04762:17928 149.05098:3723","",1647,1724,1330,2567,0,2642,401091,391422,330857,"1651.62784830729","374456.583333333","964.983139769301","38066.5136626926"
"888",2.869,147.04439,"Unknown","[M+NH4]+","adduct linked to 3885_[2M+NH4]+","0.333","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","3.47","Orbi_P_E2_WS03A","147.04439:45140 148.04774:18349 149.0511:0","",1374,4297,1279,4930,7173,1275,146878,139511,114505,"3387.85042317708","133631.161458333","2469.66774245614","16968.3166507189"
"893",0.534,147.07668,"Unknown","[M+ACN+2H]2+","adduct linked to 3285_[M+H]+; found in higher mz's MsMs_4794","0.444","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","2837.8","Orbi_P_E2_WS03A","147.07658:44844424 148.07993:2894320 149.08329:499661","71.95941:3638 101.07146:55353",194552,97052,66375,48433,183671,107164,165509088,169892976,153300624,"116207.764322917","162900896","60356.5566522575","8598170.46554812"
"894",0.458,147.11295,"Unknown","[M+Li]+","adduct linked to 5030_[2M+K]+","0.333","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","41.94","Orbi_P_E2_WS03B","147.11308:133699 148.11643:17718 149.11979:0","81.85724:4168 98.68149:4787 124.62562:4367",37135,27329,10424,26106,37180,35777,356241,478221,400844,"28991.8767903646","411768.333333333","10346.7480874608","61719.4594069224"
"914",0.542,148.06062,"Unknown","[M+NH4]+","adduct linked to 1211_[M+CH3OH+H]+; adduct linked to 2337_[M+IsoProp+Na+H]+","0.333","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","962.62","Orbi_P_E2_WS03A","148.06055:5088527 149.0639:163473 150.06726:1391052","67.636:3740 102.05553:126874 110.5888:3969",64555,89204,134862,65788,71864,58350,18927716,19958064,18442390,"80770.5670572917","19109390","28518.2469385811","773996.770197396"
"949",1.254,150.05534,"Unknown","[M+H]+","adduct linked to 2316_[M+ACN+Na]+","0.111","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","4.87","Orbi_P_E2_WS03A","150.05534:43799 151.05869:5012 152.06205:231271","",4753,1850,4306,1988,2493,2147,291902,244311,160958,"2922.8779296875","232390.270833333","1270.78160754765","66281.3499186989"
"969",1.166,151.07565,"Unknown","[M+2H+Na]+","adduct linked to 3855_[2M+Na]+","0.333","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","13.3","Orbi_P_E2_WS03A","151.07567:296029 152.07902:40893 153.08238:40901","68.62913:1918 82.01453:5098 100.02496:25864 123.96497:3751",34009,38053,32320,21064,28174,59123,1810184,1972540,1888434,"35457.0146484375","1890385.875","12953.420915269","81195.9746270751"
