Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45
5,11.646,100.11272,Unknown,[M+H]+,found in higher mz's MsMs_303; adduct linked to 1571_[M+DMSO+H]+,1,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,62.49,Orbi_P_E2_WS03A,100.11272:1175546 101.11607:0 102.11943:14680063,,2528755,2558266,2755386,2513106,2526463,2315675,2970513,2366576,2339078,2532941.70833333,2558722.58333333,139843.041184163,356885.683410698
6,0.056,100.11289,Unknown,[M+H]+,,0.222,True,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,40.62,Orbi_P_E2_Wasteblank4,100.11289:89374 101.11624:0 102.1196:929219,82.06604:4608 98.00809:6379,641104,743266,759175,700580,488027,632612,804444,552722,920784,660793.916666667,759316.5,99089.4426437365,188134.73078184
7,11.656,100.51066,Unknown,[M+Na]+,adduct linked to 1065_[2M+H]+,1,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,206.19,Orbi_P_E2_WS03B,100.51066:395743 101.51401:121543 102.51737:118920,,915949,849606,743120,848458,779178,775881,712591,868690,871579,818698.697916667,817620.270833333,63884.2313151715,90969.1627480402
8,0.468,100.75848,Unknown,[M+H]+,similar chromatogram in higher mz_11445,0.444,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,41.74,Orbi_P_E2_EXBLANKA,100.75848:37091 101.76183:0 102.76519:0,,67664,14490,65789,12395,52600,23095,0,0,0,39338.9428710938,0,25632.5735115966,0
9,11.661,100.95727,Unknown,[M+H]+,adduct linked to 776_[M+ACN+H]+; adduct linked to 367_[M+Na]+; adduct linked to 1236_[M+ACN+Na]+; adduct linked to 1666_[M+2ACN+H]+; adduct linked to 3371_[2M+3H2O+2H]+,1,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,277.64,Orbi_P_E2_WS03B,100.95727:949237 101.96062:0 102.96398:112278,,3157598,3160904,2980295,2894749,3166148,3015986,2781401,3046034,3070285,3062613.25,2965907,115353.100699873,160246.071890039
10,0.572,100.95766,Unknown,[M+H]+,,0.111,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,5.14,Orbi_P_E2_Wasteblank4,100.95766:31211 101.96101:20455 102.96437:28537,,159825,86343,149318,178036,84579,87255,51103,96531,115408,124226.118489583,87680.6692708333,42816.456458654,33053.4693014943
11,0.555,101.02383,Unknown,[M+H]+,found in higher mz's MsMs_6139; adduct linked to 1687_[M+IsoProp+Na+H]+; found in higher mz's MsMs_893,0.222,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,8.06,Orbi_P_E2_WS03A,101.02383:223873 102.02718:0 103.03054:0,,0,0,0,0,0,1703,510983,508789,459492,283.775797526042,493088.145833333,695.105905290155,29115.7278659725
12,6.01,101.07146,Unknown,[M+H]+,,0.889,True,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,3.82,Orbi_P_E2_EXBLANKB,101.07166:589990 102.07501:21300 103.07837:0,96.01142:2316,2427381,3754923,4041504,4015092,3513591,3633318,2592462,3391362,3406635,3564301.375,3130153.33333333,594507.1023832,465716.530200597
13,11.645,101.0715,Unknown,[M+H]+,adduct linked to 1690_[M+IsoProp+Na+H]+; adduct linked to 2067_[2M+H]+; adduct linked to 2550_[2M+Na]+; found in higher mz's MsMs_180,1,True,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,854.67,Orbi_P_E2_EXBLANKA,101.07165:17359848 102.075:1224543 103.07836:0,59.06141:5327063,61786536,50585516,55275508,49598304,51288176,53930512,55174928,50498284,49682776,53744092,51785329.3333333,4477869.51043391,2963662.87983592
14,0.587,101.07151,Unknown,[M+H]+,,0.444,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,3.84,Orbi_P_E2_WS03C,101.07151:252814 102.07486:0 103.07822:0,,462470,303771,389340,140710,198428,621455,321406,196698,676814,352695.822916667,398305.911458333,177062.106921982,249124.695219239
15,9.774,101.07155,Unknown,[M+H]+,adduct linked to 3020_[2M+ACN+H]+,0.222,True,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,50.59,Orbi_P_E2_EXBLANKA,101.07172:4094196 102.07507:277592 103.07843:13072,59.0614:4192274 60.04538:213124 91.97881:2995,26433444,16075061,16428437,11823304,12218470,20273504,13292467,47102268,18244508,17208703.3333333,26213081,5482476.78855262,18259224.4538794
16,0.638,101.95036,Unknown,[M+H]+,adduct linked to 1190_[M+IsoProp+H]+,1,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,23.82,Orbi_P_E2_WS03C,101.95036:85020 102.95371:0 103.95707:12698,,297543,238391,183805,148586,221767,167447,239462,255125,266022,209589.8515625,253536.041666667,54545.2279639487,13350.8681914844
17,11.762,101.95066,Unknown,[M+H]+,adduct linked to 118_[M+Li]+,0.889,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,17.82,Orbi_P_E2_Wasteblank5,101.95066:51495 102.95401:18619 103.95737:785861,,110605,103023,116867,90197,134577,108519,115728,106747,106635,110631.303385417,109703.369791667,14779.5866310447,5217.88159032665
18,1.375,102.01351,Unknown,[M+H]+,adduct linked to 3628_[2M+ACN+Na]+,0.222,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,2.03,Orbi_P_E2_WS03C,102.01351:98826 103.01686:0 104.02022:35353,,444892,161570,605388,189008,175395,175257,336857,252154,417565,291918.4140625,335525.348958333,187847.404990552,82713.2795822624
19,0.574,102.01376,Unknown,[M+H+NH4]+,adduct linked to 1295_[2M+H]+,0.556,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,4.98,Orbi_P_E2_EXBLANKB,102.01376:87211 103.01711:0 104.02047:37944,,254500,369792,317433,344804,257812,339170,116301,110908,187498,313918.497395833,138235.71875,47758.3109200582,42747.3051564752
20,0.702,102.01376,Unknown,[M+H]+,adduct linked to 2989_[2M+K]+,0.222,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,10.11,Orbi_P_E2_EXBLANKB,102.01376:111663 103.01711:6224 104.02047:39989,,345251,832917,412826,548283,519871,511030,444022,578284,408283,528362.947916667,476863.25,167571.6344023,89632.7032612644
21,11.864,102.01379,Unknown,[M+H]+,,0.111,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,22.43,Orbi_P_E2_Wasteblank6,102.01379:143072 103.01714:0 104.0205:10405,,693114,1390177,560187,652246,623199,923267,658714,1209796,477066,807031.635416667,781858.739583333,311522.528088079,381571.450888584
22,0.534,102.05553,Unknown,[M+H]+,adduct linked to 1599_[M+DMSO+H]+; adduct linked to 3632_[2M+ACN+Na]+; found in higher mz's MsMs_914,0.333,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,68.6,Orbi_P_E2_WS03A,102.05553:853020 103.05888:0 104.06224:1784029,,25048,60751,80255,27822,44540,49185,2507892,2567770,2324171,47933.5986328125,2466610.91666667,20737.6169118883,126937.95543895
23,0.808,102.05559,Unknown,[M+H]+,adduct linked to 396_[M+Na]+; adduct linked to 1257_[M+ACN+Na]+; similar chromatogram in higher mz_7462; similar chromatogram in higher mz_8653; similar chromatogram in higher mz_7489; similar chromatogram in higher mz_10152,0.333,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,24.49,Orbi_P_E2_WS03A,102.05559:244438 103.05894:29483 104.0623:141587,,68265,50356,38104,45631,34486,35668,618641,733711,479679,45418.2447916667,610676.96875,12763.0673125184,127203.194539069
24,0.584,102.12823,Unknown,[M+H]+,adduct linked to 873_[M+2Na-H]+,1,True,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,60.35,Orbi_P_E2_EXBLANKA,102.12847:544541 103.13182:54991 104.13518:0,72.08175:9140 102.12846:273534,1895539,1545617,1799519,1836277,1517946,1488614,2401272,2621062,3037150,1680585.33333333,2686494.66666667,182269.683018557,322949.180563418
25,11.644,102.12827,Unknown,[M+H]+,adduct linked to 740_[M+K]+; similar chromatogram in higher mz_8563,1,True,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,966.02,Orbi_P_E2_EXBLANKA,102.12843:10887264 103.13178:952695 104.13514:0,58.06614:716401 60.06476:491833 72.08171:321233 102.12842:8959183,25218042,24702226,26920042,23726888,24007022,24269380,27931658,23435086,22187386,24807266.6666667,24518043.3333333,1161078.91044195,3021384.22612241
26,0.81,102.12827,Unknown,[M+H]+,found in higher mz's MsMs_2097; adduct linked to 213_[M+3ACN+2H]2+,1,True,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,27.69,Orbi_P_E2_EXBLANKB,102.12849:288468 103.13184:26617 104.1352:0,72.0817:4321 97.00195:2607 102.09206:7874,897825,906174,1060809,973533,1036222,941801,1386713,1612489,1481003,969393.885416667,1493401.83333333,67409.6195000598,113397.702151703
27,0.045,102.12829,Unknown,[M+Na]+,adduct linked to 1064_[M+2K-H]+,0.333,True,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,85.44,Orbi_P_E2_EXBLANKA,102.12851:979817 103.13186:85811 104.13522:0,72.08174:14575 82.78839:2230 97.00838:81683,7215368,6762757,6818314,7289660,6698999,7742336,7845524,5848998,10497761,7087905.66666667,8064094.33333333,403702.937929818,2332075.92119973
28,1.383,102.12836,Unknown,[M+H]+,,0.111,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,1.19,Orbi_P_E2_WS03A,102.12836:75866 103.13171:0 104.13507:0,,213346,167291,110938,246134,254078,271682,360237,242877,132971,210578.37109375,245361.765625,61155.4156311826,113653.336038806
29,6.011,102.12836,Unknown,[M+H]+,,0.111,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,4.25,Orbi_P_E2_Wasteblank6,102.12836:169487 103.13171:0 104.13507:0,,472148,775593,1038049,363819,865977,856692,431379,517015,815009,728713.229166667,587800.875,257712.877873937,201372.751394462
30,9.724,102.1285,Unknown,[M+H]+,,0.111,True,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,7.37,Orbi_P_E2_EXBLANKA,102.1285:295202 103.13185:19690 104.13521:0,59.0614:69383 60.06477:62643 102.07485:4652,1890997,1779378,1137246,1269083,356786,767599,736332,642775,2016295,1200181.51041667,1131800.83333333,586488.693286357,767421.561952803
31,11.666,102.95529,Unknown,[M+H]+,,1,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,29.95,Orbi_P_E2_EXBLANKC,102.95529:122754 103.95864:429743 104.962:0,,247632,321988,354717,331623,291481,327612,196799,377278,357319,312508.817708333,310465.432291667,37725.3855993248,98942.4933437781
32,6.001,103.05479,Unknown,[M+NH4]+,adduct linked to 58_[M+3ACN+2H]2+; similar chromatogram in higher mz_7577,1,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,10,Orbi_P_E2_Wasteblank5,103.05479:46652 104.05814:0 105.0615:1907638,,114099,95759,136174,123460,139240,129813,121252,124625,89649,123090.658854167,111842.234375,16156.5059968949,19293.6516683158
33,1.38,103.05481,Unknown,[M+H]+,adduct linked to 325_[M+NH4]+; adduct linked to 3679_[2M+ACN+Na]+,0.333,True,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,456.07,Orbi_P_E2_WS03A,103.05482:1829735 104.05817:195599 105.06153:44327,60.85188:3946 103.00646:2649,7273,4618,9706,2828,3775,3390,6082532,6387040,5926276,5264.97570800781,6131949.16666667,2677.72351162326,234323.219362344
34,2.251,103.05495,Unknown,[M+NH4]+,adduct linked to 2291_[2M+ACN+H]+,0.111,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,8.72,Orbi_P_E2_EXBLANKA,103.05495:38075 104.0583:0 105.06166:20074,,101750,5339,9435,2055,6497,6029,12346,17317,13897,21850.95703125,14519.9254557292,39213.8693780354,2543.43691331071
35,0.486,103.08736,Unknown,[M-C6H10O5+H]+,adduct linked to 4627_[M+K]+,0.333,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,31.03,Orbi_P_E2_WS03B,103.08736:132326 104.09071:3956586 105.09407:1211057,,3119,3735,1957,4252,2240,1339,367773,341018,350501,2773.48175048828,353097.197916667,1117.02435991755,13564.8548057006
36,11.658,103.95614,Unknown,[M+H]+,adduct linked to 840_[M+ACN+H]+; adduct linked to 1635_[M+DMSO+H]+,0.889,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,78.97,Orbi_P_E2_Wasteblank4,103.95614:597120 104.95949:0 105.96285:699146,,1042764,1007353,996553,2074621,762672,807996,1537772,1288406,1126023,1115326.54166667,1317400.33333333,483754.868741677,207400.52688764
37,11.819,103.95624,Unknown,[M+H]+,adduct linked to 843_[M+ACN+H]+; found in higher mz's MsMs_843,1,True,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,218.84,Orbi_P_E2_EXBLANKA,103.95624:1029812 104.95959:14221 105.96295:468567,60.08183:7047 97.00834:4750 104.10779:32064,10712022,10272818,10650247,10188815,10500311,10352785,10290266,9444407,9520908,10446166.3333333,9751860.33333333,209885.3142968,467839.285625238
38,6.84,104.10761,Unknown,[M-C6H10O4+H]+,found in higher mz's MsMs_8927; adduct linked to 9196_[2M+ACN+H]+,0.333,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,6.79,Orbi_P_E2_WS03A,104.10761:119437 105.11096:5569 106.11432:0,,144381,258078,152297,329063,138581,199003,695164,554476,604645,203566.958333333,618094.9375,76284.2380660497,71302.2871197264
39,11.643,104.10766,Unknown,[M+H]+,adduct linked to 915_[M+2Na-H]+; adduct linked to 450_[M+Na]+,1,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,269.35,Orbi_P_E2_EXBLANKA,104.10766:1591626 105.11101:0 106.11437:0,,3846501,3262869,3601974,3329064,3368681,3298427,3805614,3527315,3007324,3451252.70833333,3446750.91666667,227829.220544052,405197.346303805
40,0.505,104.10766,Unknown,[M+H]+,adduct linked to 2187_[2M+H]+,0.556,True,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,21655.34,Orbi_P_E2_WS03A,104.10761:213162304 105.11096:15615353 106.11432:643870,60.08171:28623278 104.09335:509062,230346,273087,505852,286943,121504,186612,614062720,663348416,638162496,267390.890625,638524544,131498.477097792,24644842.5967145
41,7.65,104.10767,Unknown,[M+CH3OH+H]+,adduct linked to 252_[M+2Na-H]+,0.333,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,10.36,Orbi_P_E2_WS03A,104.10767:143673 105.11102:5777 106.11438:0,,172007,252566,157256,246001,152217,303571,815282,864157,764494,213936.294270833,814644.416666667,62184.6064421437,49834.7501471008
42,3.532,104.1077,Unknown,[M+H]+,,0.111,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,4.84,Orbi_P_E2_EXBLANKA,104.1077:74823 105.11105:0 106.11441:0,,198270,332438,155274,169858,336473,200511,188082,172143,207899,232137.390625,189374.78125,81092.8487205527,17913.4346711492
43,5.963,104.30958,Unknown,[M+H]+,similar chromatogram in higher mz_108; similar chromatogram in higher mz_11365,0.222,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,40.81,Orbi_P_E2_WS03C,104.30958:33425 105.31293:0 106.31629:0,,0,0,0,0,0,0,67277,78927,78525,0,74909.5911458333,0,6612.72233698611
44,0.796,104.9514,Unknown,[M+CH3OH+H]+,adduct linked to 1063_[M+IsoProp+Na+H]+; adduct linked to 660_[M+ACN+Na]+,0.111,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,23.68,Orbi_P_E2_WS03B,104.9514:21997 105.95475:7115 106.95811:46945,,92711,75353,64067,105683,43000,121712,84700,99581,65471,83754.205078125,83250.7421875,28708.7309577879,17101.0455769134
45,7.03,105.03374,Unknown,[M+3H]3+,found in higher mz's MsMs_933; found in higher mz's MsMs_4944; adduct linked to 6930_[M+ACN+Na]+; similar chromatogram in higher mz_10946,0.889,True,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,17.86,Orbi_P_E2_WS03B,105.03374:396100 106.03709:29623 107.04045:6889,53.0395:7391 78.81203:2048 95.04985:14185,381240,345530,283720,251687,290885,283255,874585,1296089,1207521,306053.033854167,1126064.97916667,47782.3004708354,222244.399501131
46,8.073,105.03381,Unknown,[M+H+Na]+,adduct linked to 1213_[2M+H]+; found in higher mz's MsMs_1213; found in higher mz's MsMs_5687; found in higher mz's MsMs_6142; adduct linked to 402_[M+ACN+H]+,0.778,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,12.31,Orbi_P_E2_WS03C,105.03381:194643 106.03716:14586 107.04052:0,,363948,306871,344380,185676,206184,259042,588881,698253,715751,277683.721354167,667628.604166667,73030.0138949944,68755.945250476
47,8.009,105.03389,Unknown,[M+H+Na]+,adduct linked to 1218_[2M+H]+; found in higher mz's MsMs_5689; found in higher mz's MsMs_6143; found in higher mz's MsMs_9929; found in higher mz's MsMs_9689,0.889,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,12.84,Orbi_P_E2_WS03B,105.03389:219329 106.03724:15453 107.0406:5777,,373573,256240,219606,188404,174222,161495,614727,836359,736947,228923.447916667,729344.291666667,78660.1681250392,111011.122926699
48,8.241,105.03395,Unknown,[M+H]+,,0.667,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,7.03,Orbi_P_E2_WS03C,105.03395:65471 106.0373:6293 107.04066:4677,,249370,281743,271047,249779,261906,276449,319916,279142,314856,265049.033854167,304638.125,13663.8619290147,22224.4928660328
49,5.167,105.034,Unknown,[2M+K]+,found in higher mz's MsMs_1216; adduct linked to 285_[M+IsoProp+Na+H]+,0.667,True,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,19,Orbi_P_E2_WS03A,105.03407:283094 106.03742:23094 107.04078:0,66.58707:2091 95.05:11604 105.0341:14734,223943,174926,157889,34213,34006,32854,965494,781416,1242122,109638.405598958,996343.895833333,85977.9811160161,231896.989833986
50,5.562,105.03403,Unknown,[M+H]+,,0.111,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,3.4,Orbi_P_E2_WS03A,105.03403:33679 106.03738:0 107.04074:0,,111041,112216,107070,108651,98827,121575,138311,128887,84335,109896.673177083,117177.557291667,7418.243086815,28830.5507761078
51,3.964,105.03403,Unknown,[M+Na]+,found in higher mz's MsMs_2269; adduct linked to 2686_[2M+ACN+Na]+,0.556,True,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,21.34,Orbi_P_E2_WS03B,105.03404:274003 106.03739:19600 107.04075:0,85.00339:2181 95.04973:29560,79725,87143,78684,38228,45110,36600,372063,771368,1521216,60915.0618489583,888215.958333333,23294.4943375001,583419.545616782
52,6.767,105.03404,Unknown,[M+CH3OH+H]+,adduct linked to 965_[M+DMSO+H]+; adduct linked to 589_[M+IsoProp+H]+,1,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,17.28,Orbi_P_E2_WS03A,105.03404:130063 106.03739:7635 107.04075:8446,,526285,508635,518496,417487,517800,490961,574543,528944,521002,496610.703125,541496.010416667,40609.3777356903,28893.4934669206
53,5.078,105.03404,Unknown,[M+H+Na]+,adduct linked to 1219_[2M+H]+; found in higher mz's MsMs_2956,0.333,True,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,15.15,Orbi_P_E2_WS03C,105.03404:253785 106.03739:28893 107.04075:0,65.02303:2288 95.04957:5381,35129,70708,33388,31481,11108,32806,482890,471450,1121699,35769.9996744792,692012.9375,19298.5875940327,372162.685538003
54,5.418,105.03404,Unknown,[M+CH3OH+H]+,adduct linked to 966_[M+DMSO+H]+; found in higher mz's MsMs_966; found in higher mz's MsMs_3716; adduct linked to 587_[M+IsoProp+H]+,1,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,10.35,Orbi_P_E2_WS03C,105.03404:80607 106.03739:17735 107.04075:8509,,276531,265827,266150,260869,258516,281069,292370,260600,313885,268160.372395833,288951.822916667,8858.23407815797,26806.5204153695
55,8.354,105.03405,Unknown,[M+H]+,,0.333,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,6.15,Orbi_P_E2_Wasteblank6,105.03405:44258 106.0374:0 107.04076:7766,,248244,257008,214124,231154,253796,290843,290034,249962,231407,249194.752604167,257134.578125,25973.6754396763,29964.1012594549
56,6.949,105.03415,Unknown,[M+Li]+,adduct linked to 251_[M+Li]+; adduct linked to 590_[M+IsoProp+H]+,0.667,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,7.95,Orbi_P_E2_Wasteblank5,105.03415:60621 106.0375:5336 107.04086:10893,,222534,211410,189048,210147,217847,191694,193214,170400,173661,207113.53125,179091.630208333,13746.1763382891,12338.8302669173
57,6.615,105.03423,Unknown,[M+H]+,,0.444,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,6.11,Orbi_P_E2_Wasteblank6,105.03423:36198 106.03758:0 107.04094:0,,190885,185004,206176,190298,189734,187356,204247,192195,203018,191575.471354167,199819.921875,7478.85311187391,6632.0788817644
58,6,105.06998,Unknown,[M+3ACN+2H]2+,found in higher mz's MsMs_6770; adduct linked to 32_[M+NH4]+; found in higher mz's MsMs_3661,1,True,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,215.36,Orbi_P_E2_EXBLANKA,105.07003:1422047 106.07338:144952 107.07674:24876,60.05354:8142 103.05486:15118,4333930,3580908,4603772,4396883,4607534,3760244,4601517,3826830,4268662,4213878.33333333,4232336.25,438478.977889068,388619.034419234
59,4.406,105.07034,Unknown,[M+H]+,adduct linked to 1272_[M+IsoProp+H]+; adduct linked to 1671_[M+DMSO+H]+,0.333,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,4.65,Orbi_P_E2_WS03C,105.07034:85807 106.07369:9779 107.07705:67137,,136101,84878,86043,105732,137352,110385,486363,410155,603548,110081.759114583,500022.0625,23033.8129758101,97417.4720280301
60,6.174,105.07034,Unknown,[M+Li]+,adduct linked to 2458_[2M+Na]+,0.889,False,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,5.76,Orbi_P_E2_WS03A,105.07034:65215 106.07369:15412 107.07705:38565,,380683,323910,346287,290002,264694,299211,400145,423892,340049,317464.385416667,388028.59375,41811.1892373054,43215.0380610858
