cluster,cluster.size,strength,id,source,Alignment.ID,Average.Rt.min.,Average.Mz,Adduct.type,Post.curation.result,Fill..,S.N.average,Spectrum.reference.file.name,MS1.isotopic.spectrum,MS.MS.spectrum,Metabolite.name,Blank.1,Blank.2,Blank.3,Blank.4,Blank.5,Blank.6,QC.1,QC.2,QC.3,avg_Blank,avg_QC,sd_Blank,sd_QC,ratio_Blank,rsd_QC,rsd_min,rmd,identified_by_MSDial
10,2,0.01743416351875669,pos_10222,pos,10222,9.753,637.30743,[M+H]+,adduct linked to 10353_[M+NH4]+; adduct linked to 10475_[M+K]+; adduct linked to 10618_[M+ACN+Na]+; adduct linked to 11444_[2M+NH4]+,1,1768.02,Orbi_P_E2_EXBLANKB,637.30811:242105 638.31146:119950 639.31482:19666,73.19254:3088 147.11719:7734 337.0242:39232 469.1189:29555,Unknown,5.132015e-5,1.241979e-4,1.236482e-4,1.503566e-5,9.505568e-6,1.047633e-5,1.80162e-4,1.904604e-4,1.425726e-4,5.56972950107593e-5,1.71064990960682e-4,5.50650403414592e-5,2.52066897755154e-5,0.18793528848818267,14.735153951698374,14.735153951698374,482.3888527393348,FALSE
10,2,0.01743416351875669,pos_10353,pos,10353,9.752,654.33411,[M+NH4]+,adduct linked to 10222_[M+H]+,1,7524.29,Orbi_P_E2_EXBLANKA,654.33508:1371465 655.33843:690104 656.34179:134159,58.35388:11851 239.04767:4290 337.02438:33992 469.12119:21639 581.24518:446924,Unknown,3.200307e-4,7.386177e-4,7.443834e-4,1.008124e-4,5.575131e-5,6.30339e-5,0.001097946,0.00113332,8.456419e-4,3.37104892726832e-4,0.00102563617595782,3.27868496072607e-4,1.56879799552579e-4,0.19049808100064103,15.295852781915794,15.295852781915794,510.6107031467605,FALSE
11,1,0,pos_10227,pos,10227,4.878,638.39197,[M+IsoProp+H]+,adduct linked to 9822_[M+Na]+,0.333,249.6,Orbi_P_E2_WS03A,638.3924:680692 639.39575:347833 640.39911:104714,85.02938:4047 153.09169:4286 183.11737:8066 197.13272:13777 351.07489:3246,Unknown,0,0,0,0,0,0,1.685598e-4,1.94972e-4,1.84188e-4,0,1.82573251853076e-4,0,1.32799439994979e-5,0,7.273762100805874,7.273762100805874,613.9958182744917,FALSE
12,11,0,pos_9669,pos,9669,4.406,586.26947,[2M+H]+,adduct linked to 5996_[M+IsoProp+H]+,0.333,241.72,Orbi_P_E2_WS03A,586.26947:4226583 587.27282:1520406 588.27618:418446,65.03951:5756 95.04977:47617 263.14456:4664,Unknown,0,0,0,0,0,0,0.001046629,0.001084962,0.001057506,0,0.00106303230859339,0,1.97549639194085e-5,0,1.8583596904545987,1.8583596904545987,459.63505484936087,FALSE
12,11,0.0026315718518878,pos_9507,pos,9507,4.406,569.2428,[M+H]+,adduct linked to 11397_[2M+NH4]+,0.333,594.23,Orbi_P_E2_WS03A,569.24304:25203020 570.24639:9047383 571.24975:2638414,65.03945:160294 105.07066:31208 123.11727:55047 133.10143:45135 145.10156:88675 157.10153:37824 197.1326:34166 253.1586:93203 267.13782:28095,Unknown,0,0,0,0,0,0,0.006241023,0.006181526,0.006620776,0,0.00634777483840783,0,2.38290112027262e-4,0,3.753915633324996,3.753915633324996,426.5315257390842,FALSE
13,1,0,pos_10237,pos,10237,5.135,639.31647,[M+H-H2O]+,adduct linked to 8846_[M-C6H10O4+H]+,0.333,118.77,Orbi_P_E2_WS03A,639.31647:776378 640.31982:384843 641.32318:91449,149.93425:3626 240.27899:3544 352.08801:3452,Unknown,0,0,0,0,0,0,1.922544e-4,2.191305e-4,1.814579e-4,0,1.97614237549715e-4,0,1.93997989679364e-5,0,9.817004689783992,9.817004689783992,495.01305667908287,FALSE
14,2,0,pos_10273,pos,10273,4.425,643.34686,[M+Na]+,adduct linked to 10514_[M+IsoProp+H]+,0.333,74.12,Orbi_P_E2_WS03A,643.34723:1030738 644.35058:472512 645.35394:108209,63.62047:3172 364.1488:3356,Unknown,0,0,0,0,0,0,2.552416e-4,2.575254e-4,2.688229e-4,0,2.60529932954038e-4,0,7.27212038804677e-6,0,2.7912801825077422,2.7912801825077422,539.1492856590493,FALSE
14,2,0,pos_8044,pos,8044,4.419,459.31067,[2M+K]+,adduct linked to 2276_[M+H]+,0.333,348.56,Orbi_P_E2_WS03A,459.31113:1404101 460.31448:578953 461.31784:97777,65.03957:13483 85.90694:2836 139.07599:3250 181.10069:3874 195.11723:8661 237.16443:7879 287.20056:17360,Unknown,0,0,0,0,0,0,3.476975e-4,3.480629e-4,3.626058e-4,0,3.52788745658472e-4,0,8.50382112249436e-6,0,2.4104570304877995,2.4104570304877995,676.3831547828313,FALSE
15,1,0,pos_10322,pos,10322,2.956,649.11853,[M+H]+,NA,0.333,3936.74,Orbi_P_E2_WS03A,649.11853:203272 650.12188:87414 651.12524:27692,92.6576:3288 195.06615:3683,Unknown,0,0,0,0,0,0,5.03362e-5,4.957531e-5,4.764356e-5,0,4.91850223625079e-5,0,1.38809895353883e-6,0,2.8221984800741526,2.8221984800741526,182.60147341651808,FALSE
16,1,0,pos_10329,pos,10329,4,650.30237,[M+2Na-H]+,adduct linked to 8057_[M-C6H10O4+H]+,0.333,151.45,Orbi_P_E2_WS03A,650.30237:479060 651.30572:220425 652.30908:63667,60.78205:7207 84.04533:12428 120.01125:3635 281.15524:4969,Unknown,0,0,0,0,0,0,1.186297e-4,1.146706e-4,1.154115e-4,0,1.16237250040285e-4,0,2.10477066518179e-6,0,1.8107540091083776,1.8107540091083776,464.9683192758412,FALSE
17,1,0,pos_10332,pos,10332,4.285,650.35614,[M+2Na-H]+,adduct linked to 9702_[M+H-H2O]+,0.333,808.87,Orbi_P_E2_WS03A,650.35645:1988321 651.3598:844656 652.36316:181623,86.8884:3597 163.14803:3895 253.15805:6385 281.15405:128262 323.20279:3653,Unknown,0,0,0,0,0,0,4.92368e-4,5.262025e-4,4.929637e-4,0,5.03844717362275e-4,0,1.93646931649322e-5,0,3.843385173572947,3.843385173572947,547.6076538617474,FALSE
18,19,0.02171046777807437,pos_693,pos,693,0.554,138.05522,[M+Na]+,adduct linked to 253_[M+H]+; found in higher mz's MsMs_1035,0.778,7079.63,Orbi_P_E2_WS03A,138.05515:109636976 139.0585:11581054 140.06186:366428,110.0606:178703,Unknown,1.428267e-5,4.701026e-5,3.889498e-5,1.086265e-5,7.994389e-6,7.118414e-6,0.0271494,0.02789138,0.02782276,2.10272272245978e-5,0.0276211798191071,1.73579510431486e-5,4.10009667732222e-4,4.166863549598121e-4,1.4844031660392567,1.4844031660392567,399.9848756171001,FALSE
18,19,0.02203941425956034,pos_253,pos,253,0.563,116.07108,[M+H]+,adduct linked to 693_[M+Na]+; adduct linked to 323_[M+3ACN+2H]2+; adduct linked to 1152_[M+2Na-H]+; adduct linked to 2763_[2M+H]+; found in higher mz's MsMs_8028; found in higher mz's MsMs_1599; found in higher mz's MsMs_586; found in higher mz's MsMs_8290; found in higher mz's MsMs_3632,1,2179.87,Orbi_P_E2_WS03A,116.07108:59014852 117.07443:4399044 118.07779:6749744,68.05018:24886 70.06599:19302888,Unknown,3.412817e-5,6.264242e-5,7.849713e-5,8.891673e-5,7.943752e-5,7.608996e-5,0.01461385,0.01421342,0.01379097,6.99519860063447e-5,0.0142060788348317,1.94787420233094e-5,4.11485500664942e-4,0.00247712470276829,2.896545242702906,2.896545242702906,612.3833774958838,FALSE
19,5,0,pos_9492,pos,9492,4.862,568.25922,[2M+ACN+H]+,adduct linked to 4062_[M+NH4]+,0.333,159.79,Orbi_P_E2_WS03A,568.25928:2962660 569.26263:805748 570.26599:447096,85.60786:2823 109.1016:7619 125.0963:5727 249.12617:3911 271.14908:4043 361.11118:64397,Unknown,0,0,0,0,0,0,7.336434e-4,8.256207e-4,8.027278e-4,0,7.87330655536304e-4,0,4.78827794288224e-5,0,6.081660747250621,6.081660747250621,456.1650579114713,FALSE
19,5,0,pos_8899,pos,8899,4.86,515.21094,[M+H]+,NA,0.333,1465.22,Orbi_P_E2_WS03A,515.21094:7139542 516.21429:2359386 517.21765:659816,107.08612:10221 109.10165:62600 179.0863:9855 219.11792:8975 231.11674:19657 249.12729:29281 279.13846:6825 329.19006:9973 343.10043:38505 389.24857:28284,Unknown,0,0,0,0,0,0,0.001767964,0.002029483,0.001956961,0,0.00191813633621981,0,1.35013214132435e-4,0,7.038770476477908,7.038770476477908,409.4245358998986,FALSE
20,2,0,pos_10355,pos,10355,3.891,654.38739,[M+2ACN+H]+,adduct linked to 10331_[M+DMSO+H]+,0.333,15.12,Orbi_P_E2_WS03A,654.3877:235947 655.39105:104660 656.39441:23423,65.95222:3040 67.05515:6680 141.37404:3641 341.79953:3897,Unknown,0,0,0,0,0,0,5.84276e-5,5.936779e-5,5.740557e-5,0,5.8400322207793e-5,0,9.81394463895579e-7,0,1.680460700890826,1.680460700890826,591.9887912265274,FALSE
20,2,0,pos_9848,pos,9848,3.873,602.26526,[M+2K-H]+,adduct linked to 9026_[M+H]+,0.333,28.74,Orbi_P_E2_WS03A,602.26526:382407 603.26861:145852 604.27197:41084,62.44616:3351 433.23944:3188,Unknown,0,0,0,0,0,0,9.469542e-5,9.554998e-5,9.329262e-5,0,9.45126715426644e-5,0,1.13972094710501e-6,0,1.2058922137128705,1.2058922137128705,440.4371588691867,FALSE
21,1,0,pos_10362,pos,10362,5.135,655.29047,[M+ACN+H]+,adduct linked to 10007_[M+3H]+,0.333,56.14,Orbi_P_E2_WS03A,655.29028:213346 656.29363:120385 657.29699:43521,98.49107:3421 495.91071:4011,Unknown,0,0,0,0,0,0,5.283077e-5,6.119289e-5,4.906492e-5,0,5.43628605858733e-5,0,6.20744776572737e-6,0,11.41854512221977,11.41854512221977,443.26907424737544,FALSE
22,1,0,pos_10365,pos,10365,4.285,655.31128,[M+2Na-H]+,adduct linked to 10274_[M+CH3OH+H]+,0.333,161.06,Orbi_P_E2_WS03A,655.31152:1282389 656.31487:536750 657.31823:122780,135.71599:3201 380.73416:3730,Unknown,0,0,0,0,0,0,3.175579e-4,3.223688e-4,2.949748e-4,0,3.11633863020688e-4,0,1.46263263536622e-5,0,4.693432931802801,4.693432931802801,475.0108986373783,FALSE
23,1,0,pos_10383,pos,10383,9.751,659.28912,[2M+ACN+H]+,adduct linked to 1234_[M-C6H10O4+H]+,1,3278.2,Orbi_P_E2_EXBLANKC,659.29034:239186 660.29369:117124 661.29705:28401,89.06034:3179 600.30896:3813,Unknown,5.310672e-5,1.243677e-4,1.176025e-4,1.651311e-5,9.268671e-6,9.549706e-6,1.609312e-4,1.73118e-4,1.362397e-4,5.50680620108324e-5,1.56762956369979e-4,5.36149734324727e-5,1.87891868548752e-5,0.20415849040769632,11.985731380652526,11.985731380652526,438.532945910021,FALSE
24,1,0,pos_10435,pos,10435,9.752,668.34949,[M+IsoProp+H]+,adduct linked to 10350_[M+H+2Na]+,0.667,895.2,Orbi_P_E2_WS03A,668.34949:337231 669.35284:142397 670.3562:41936,138.92633:3348 283.26318:56826 506.55136:3646,Unknown,1.2101e-5,5.084952e-5,5.361322e-5,5.626052e-6,3.489407e-6,3.301243e-6,8.350859e-5,7.01526e-5,6.788947e-5,2.14967408661929e-5,7.38502203603275e-5,2.40356109044805e-5,8.44058605204995e-6,0.1584956294604275,11.429330895516529,11.429330895516529,522.915039555048,FALSE
25,1,0,pos_10436,pos,10436,3.737,668.3667,[M+IsoProp+Na+H]+,adduct linked to 9666_[M+H]+,0.333,28.77,Orbi_P_E2_WS03A,668.3667:286222 669.37005:137386 670.37341:1560841,61.15779:3669 67.05521:7901 252.50745:3279 299.16418:15968,Unknown,0,0,0,0,0,0,7.087721e-5,6.99919e-5,6.5119e-5,0,6.86627002626968e-5,0,3.10069508686152e-6,0,4.515836218206629,4.515836218206629,548.6509127400229,FALSE
26,1,0,pos_10447,pos,10447,3.727,670.38232,[M+H]+,adduct linked to 10801_[M+2K-H]+; adduct linked to 10808_[M+DMSO+H]+,0.333,19677.67,Orbi_P_E2_WS03A,670.38232:1603621 671.38567:742255 672.38903:173419,155.08516:3958 239.14354:5245 265.15884:7333 409.27109:5912,Unknown,0,0,0,0,0,0,3.971045e-4,3.651157e-4,3.610312e-4,0,3.74417150548349e-4,0,1.97537028732959e-5,0,5.275854176115011,5.275854176115011,570.3014363506031,FALSE
27,1,0,pos_10454,pos,10454,4.285,671.28522,[M+IsoProp+H]+,adduct linked to 10196_[M+Na]+,0.333,151.17,Orbi_P_E2_WS03A,671.28552:499184 672.28887:211389 673.29223:83021,67.20533:3535,Unknown,0,0,0,0,0,0,1.236129e-4,1.235475e-4,1.176454e-4,0,1.21601910601991e-4,0,3.42661158470928e-6,0,2.817892883216899,2.817892883216899,424.8864588437999,FALSE
28,1,0,pos_10478,pos,10478,3.727,675.33752,[2M+Na]+,adduct linked to 5259_[M+H]+,0.333,4473.91,Orbi_P_E2_WS03A,675.33752:730716 676.34087:339603 677.34423:90630,303.47238:3714,Unknown,0,0,0,0,0,0,1.809471e-4,1.644625e-4,1.66333e-4,0,1.70580877844865e-4,0,9.02602444678396e-6,0,5.2913459942401575,5.2913459942401575,499.77972495892186,FALSE
29,1,0,pos_10518,pos,10518,9.751,682.3653,[M+Na]+,adduct linked to 11446_[2M+H]+,1,1977.67,Orbi_P_E2_EXBLANKB,682.36639:282714 683.36974:129147 684.3731:29087,441.17191:3730,Unknown,4.795089e-5,1.450298e-4,1.426585e-4,1.939488e-5,1.225319e-5,1.282114e-5,1.83047e-4,1.965626e-4,1.520514e-4,6.33514055152773e-5,1.77220324985683e-4,6.37097618777147e-5,2.28204963552366e-5,0.20045360566682177,12.876906955836011,12.876906955836011,535.3437520929734,FALSE
30,1,0,pos_10582,pos,10582,6.742,694.40332,[M+2K-H]+,adduct linked to 8010_[M-C6H10O5+H]+,0.333,4969.65,Orbi_P_E2_WS03A,694.40332:707455 695.40667:342080 696.41003:88582,73.57217:3562 81.07053:15968 91.03969:22094 121.10157:13533 133.1013:3990 163.05997:12120 187.14806:6626,Unknown,0,0,0,0,0,0,1.75187e-4,1.959541e-4,1.669318e-4,0,1.79357613281657e-4,0,1.4953903446645e-5,0,8.337479058199724,8.337479058199724,580.8151954112315,FALSE
31,1,0,pos_10587,pos,10587,3.346,696.38281,[M+ACN+H]+,adduct linked to 10576_[M+K]+,0.333,1446.05,Orbi_P_E2_WS03A,696.38293:197928 697.38628:88875 698.38964:24348,61.09161:6487 127.03901:8564 273.22186:4945,Unknown,2.325171e-7,0,0,0,0,6.476494e-7,4.901284e-5,5.215247e-5,4.731908e-5,1.46694416021849e-7,4.94947950452721e-5,2.62449403735053e-7,2.45247532008536e-6,0.00175888310380302,4.955016619105342,4.955016619105342,549.712018307789,FALSE
32,1,0,pos_10611,pos,10611,6.744,699.35858,[2M+K]+,adduct linked to 5372_[M+H]+,0.333,123.37,Orbi_P_E2_WS03A,699.35858:287963 700.36193:128603 701.36529:33013,60.96304:4789 114.16795:3309 226.58058:4070 537.30475:24189,Unknown,0,0,0,0,0,0,7.130816e-5,6.988808e-5,6.232299e-5,0,6.78397409501486e-5,0,4.83012397728926e-6,0,7.119903333414306,7.119903333414306,512.726961896944,FALSE
33,1,0,pos_1070,pos,1070,0.512,156.07712,[M+H]+,adduct linked to 1563_[M+Na]+,0.778,153.16,Orbi_P_E2_WS03A,156.07703:2220511 157.08038:193682 158.08374:0,83.06098:21404 93.04527:8195 101.67885:2288 130.06323:12807 156.0425:106012,Unknown,4.737242e-6,1.171074e-5,3.15509e-5,4.145505e-5,5.094759e-5,3.955686e-5,5.498651e-4,5.639789e-4,5.698149e-4,2.99930623744634e-5,5.6121964007616e-4,1.80912249274656e-5,1.02571086968579e-5,0.02469979340879887,1.8276460701671031,1.8276460701671031,494.11470432058104,FALSE
34,2,0,pos_10738,pos,10738,5.962,728.3913,[M+DMSO+H]+,adduct linked to 8491_[M-C6H10O5+H]+,0.333,8641.92,Orbi_P_E2_WS03A,728.39166:544810 729.39501:337325 730.39837:55114,184.64195:3362 493.25671:697071,Unknown,0,0,0,0,0,0,1.349112e-4,1.685689e-4,1.515729e-4,0,1.51684313702087e-4,0,1.68290938677523e-5,0,11.094814919890265,11.094814919890265,537.2112489536889,FALSE
34,2,0,pos_8577,pos,8577,5.962,493.2565,[M+H]+,adduct linked to 9121_[M+ACN+H]+; adduct linked to 11359_[2M+ACN+Na]+; found in higher mz's MsMs_10738,0.333,1640.41,Orbi_P_E2_WS03A,493.25647:9909907 494.25982:3477636 495.26318:708517,89.86572:3080 249.27214:3471 340.20285:7187 475.24603:27912,Unknown,0,0,0,0,0,0,0.00245399,0.002810417,0.002675189,0,0.00264653222014507,0,1.79933424899243e-4,0,6.798837494953299,6.798837494953299,520.0134210091845,FALSE
35,2,0.00164473240742987,pos_5579,pos,5579,3.948,339.10782,[M+H]+,adduct linked to 10752_[2M+3H2O+2H]+; adduct linked to 5083_[M+H-H2O]+; similar chromatogram in higher mz_9821,0.333,10.86,Orbi_P_E2_WS03A,339.10822:298974 340.11157:58476 341.11493:7583,61.57601:3312 127.03951:6989,Unknown,0,0,0,0,0,0,7.403491e-5,8.519301e-5,8.980444e-5,0,8.30107868144599e-5,0,8.10808542123576e-6,0,9.767508214755756,9.767508214755756,317.95197173572643,FALSE
35,2,0.00164473240742987,pos_10752,pos,10752,3.955,732.32843,[2M+3H2O+2H]+,adduct linked to 5579_[M+H]+,0.333,1643.5,Orbi_P_E2_WS03A,732.32849:2400108 733.33184:1116762 734.3352:386702,53.17467:3220 65.03951:4480 67.05512:46367 153.09195:4279 211.11139:4611 239.17929:8105 249.16344:7250 289.1958:8352 363.12637:90658 409.27472:13968,Unknown,0,0,0,0,0,0,5.943388e-4,6.620717e-4,6.536274e-4,0,6.36679314387341e-4,0,3.69102365583217e-5,0,5.797304188190785,5.797304188190785,448.4736445368176,FALSE
36,1,0,pos_10774,pos,10774,3.955,737.28314,[M+Li]+,adduct linked to 9665_[M-C6H10O4+H]+,0.333,32.67,Orbi_P_E2_WS03B,737.28314:228069 738.28649:93834 739.28985:45428,69.81592:3000 416.81964:3942 595.32745:24651,Unknown,0,0,0,0,0,0,5.040227e-5,5.626592e-5,5.20178e-5,0,5.28953326769018e-5,0,3.02871959739191e-6,0,5.725873047991026,5.725873047991026,384.0315675738944,FALSE
37,1,0,pos_10807,pos,10807,3.737,748.32281,[2M+NH4]+,adduct linked to 6695_[M+NH4]+,0.333,45126.01,Orbi_P_E2_WS03A,748.323:6288276 749.32635:2988397 750.32971:1063807,65.03952:19809 107.08616:18059 123.11732:14605 139.07561:4982 237.12764:5617 263.14288:27649 317.17484:55216 379.12143:59023 435.25241:15451,Unknown,0,0,0,0,0,0,0.001557166,0.0015589620000000001,0.001453933,0,0.00152335327584296,0,6.0126768077343e-5,0,3.9470009373939448,3.9470009373939448,431.3780038323354,FALSE
38,1,0,pos_10824,pos,10824,3.737,753.27802,[M+H]+,NA,0.333,8871,Orbi_P_E2_WS03A,753.27783:447801 754.28118:231354 755.28454:70187,205.22247:3746 493.25479:14684 655.31073:82470,Unknown,0,0,0,0,0,0,1.108888e-4,1.145554e-4,1.070339e-4,0,1.10826074281552e-4,0,3.76114974899941e-6,0,3.393740844274845,3.393740844274845,369.0801969769004,FALSE
39,1,0,pos_10834,pos,10834,2.346,757.22089,[2M+H]+,adduct linked to 6601_[M+H]+,0.333,31836.69,Orbi_P_E2_WS03A,757.22076:1573362 758.22411:803769 759.22747:211701,71.04999:64282 85.02422:7752 145.04953:6232,Unknown,0,0,0,0,0,0,3.896115e-4,3.962823e-4,4.103487e-4,0,3.98747496850168e-4,0,1.05861066888709e-5,0,2.6548396598082467,2.6548396598082467,291.71144499203393,FALSE
40,1,0,pos_10881,pos,10881,2.168,773.21539,[M+H]+,adduct linked to 10127_[M-C6H10O4+H]+,0.333,4434.6,Orbi_P_E2_WS03A,773.21533:9303847 774.21868:4544232 775.22204:1363790,69.03431:19107 81.03452:9800 127.03941:29799 288.4032:6565,Unknown,0,0,0,0,0,0,0.002303911,0.00239101,0.00243323,0,0.0023760503778855,0,6.59444562529121e-5,0,2.7753812320931313,2.7753812320931313,278.5640363417452,FALSE
41,1,0,pos_10906,pos,10906,2.344,779.20251,[2M+Na]+,adduct linked to 6601_[M+H]+,0.333,4734.93,Orbi_P_E2_WS03A,779.20251:353536 780.20586:183283 781.20922:57594,61.60215:3793 96.86536:5326 471.09052:8815,Unknown,0,0,0,0,0,0,8.754614e-5,8.613468e-5,8.685605e-5,0,8.6845623930761e-5,0,7.05789298256403e-7,0,0.812694141985904,0.812694141985904,259.8939266763413,FALSE
42,3,0.01743416351875669,pos_10919,pos,10919,3.788,783.41833,[M+H]+,adduct linked to 10985_[M+NH4]+,0.333,4310.83,Orbi_P_E2_WS03A,783.41852:655206 784.42187:389599 785.42523:125747,85.02901:7156 105.07076:3670 131.08572:8439 145.10126:10429 155.08571:15768 171.11768:9533 199.14825:9054 249.16275:8239 251.17978:80490 387.26981:10351,Unknown,0,0,0,0,0,0,1.622488e-4,1.728471e-4,1.616228e-4,0,1.6557290412796e-4,0,6.30741666308213e-6,0,3.809449798746997,3.809449798746997,533.9803575951166,FALSE
42,3,0.01743416351875669,pos_10985,pos,10985,3.788,800.44531,[M+NH4]+,adduct linked to 10919_[M+H]+,0.333,42930.61,Orbi_P_E2_WS03A,800.44519:2158557 801.44854:1271461 802.4519:354071,65.0396:10073 85.02906:8271 125.05942:7188 151.07678:5141 155.08585:21639 177.12784:6689 183.1174:21315 241.19492:6370 255.21101:11065 387.26801:15852,Unknown,0,0,0,0,0,0,5.345233e-4,5.477981e-4,5.269946e-4,0,5.3643867916738e-4,0,1.0533193427313e-5,0,1.963541004101687,1.963541004101687,556.3278270690967,FALSE
43,1,0,pos_10925,pos,10925,5.206,784.44983,[M+H]+,adduct linked to 10230_[M-C6H10O4+H]+,0.333,16700.46,Orbi_P_E2_WS03A,784.45026:2482112 785.45361:1270531 786.45697:362933,61.57701:4018 107.08618:5571 125.05992:9297 139.07573:7800 151.11201:6070 153.09128:23438 173.13353:10259 197.13263:15418 207.1176:12482 247.14751:7167 251.17976:21469 269.18964:10617 333.25821:4503 371.27371:17739 389.28442:54167 407.29486:224226,Unknown,0,0,0,0,0,0,6.146452e-4,6.744613e-4,6.874013e-4,0,6.58835944098731e-4,0,3.88133738210723e-5,0,5.8912046570512935,5.8912046570512935,573.4337401794324,FALSE
